dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,42,all,A1_minus_sep,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A2_minus_necessity,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A3_minus_adaptive_rank,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A4_minus_tau,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A5_full,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,R1_rank1,R,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,R2_rank2,R,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,2,0.9398,0.8076,0.9846,0.6845,68,57,0.009494
immune_dc,ASDC,42,all,R3_rank3,R,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,3,0.9398,0.8025,0.9846,0.6772,70,59,0.009827
immune_dc,ASDC,42,all,R_adaptive,R,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,43,0.01,A0_baseline,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.0,0.0,0.0,0.0,0,0,0.0
immune_dc,ASDC,43,0.01,A1_minus_sep,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,A2_minus_necessity,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,A3_minus_adaptive_rank,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,A4_minus_tau,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,A5_full,A,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,R1_rank1,R,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.01,R2_rank2,R,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.0,0.8389,0.9615,0.744,168,43,0.007162
immune_dc,ASDC,43,0.01,R3_rank3,R,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.0,0.8077,0.9692,0.6923,182,56,0.009327
immune_dc,ASDC,43,0.01,R_adaptive,R,2.4436,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.0,0.9306,0.8769,0.9913,115,1,0.000167
immune_dc,ASDC,43,0.05,A0_baseline,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.8936,0.8936,0.8077,1.0,0,0,0.0
immune_dc,ASDC,43,0.05,A1_minus_sep,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.05,A2_minus_necessity,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
