dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
immune_dc,43,all,unrescued_rare,rare_membership_score,9,0.19903765859061343,0.15381391563961952,0.2211394547746543
immune_dc,43,all,true_rescued_rare,rare_membership_score,2,0.22394752700109702,0.21380039072488932,0.23409466327730472
immune_dc,44,0.01,non_target,rare_membership_score,6004,0.03735349945753852,0.030717601077889088,0.04628560758972313
immune_dc,44,0.01,true_rescued_rare,rare_membership_score,117,0.22299920088013014,0.18938937281709078,0.26153981796279224
immune_dc,44,0.01,unrescued_rare,rare_membership_score,13,0.09890380156654759,0.08495537814545777,0.11751583181846631
immune_dc,44,0.05,non_target,rare_membership_score,6004,0.058929033072285295,0.048466423874849326,0.07304426997301271
immune_dc,44,0.05,baseline_correct_rare,rare_membership_score,103,0.3550919691413674,0.2961439915317146,0.39169763935434637
immune_dc,44,0.05,unrescued_rare,rare_membership_score,10,0.15000950373101846,0.10798554700365101,0.17402075204643444
immune_dc,44,0.05,true_rescued_rare,rare_membership_score,17,0.22187514312336618,0.21407377161409902,0.2654635656876647
immune_dc,44,0.10,non_target,rare_membership_score,6004,0.06156478994893359,0.05070273987383129,0.0765341913702291
immune_dc,44,0.10,baseline_correct_rare,rare_membership_score,111,0.40619440242262456,0.3341076496185731,0.44360135411911494
immune_dc,44,0.10,unrescued_rare,rare_membership_score,9,0.15585766321953654,0.11671859740321355,0.16860357372728524
immune_dc,44,0.10,true_rescued_rare,rare_membership_score,10,0.22716182475715352,0.21829047565718182,0.264591913810057
immune_dc,44,all,non_target,rare_membership_score,6004,0.08339964664688362,0.07082935410425462,0.09992065914866219
immune_dc,44,all,baseline_correct_rare,rare_membership_score,120,0.39443507659321075,0.3337220490268041,0.4424852235970152
immune_dc,44,all,unrescued_rare,rare_membership_score,8,0.18023355807016403,0.15280622984526282,0.19737400392666374
immune_dc,44,all,true_rescued_rare,rare_membership_score,2,0.24343763884049285,0.23784940481009564,0.24902587287089006
pancreas_baron,42,0.01,non_target,rare_membership_score,1638,0.07212800880630085,0.05734042119593482,0.08257701075935042
pancreas_baron,42,0.01,unrescued_rare,rare_membership_score,21,0.10701547881519081,0.09938575739821258,0.11594285898032754
pancreas_baron,42,0.01,true_rescued_rare,rare_membership_score,54,0.1444608943502736,0.134058213794723,0.15501140473504407
pancreas_baron,42,0.01,baseline_correct_rare,rare_membership_score,11,0.15533344211733738,0.14365460655104478,0.1695961970424541
pancreas_baron,42,0.05,non_target,rare_membership_score,1638,0.07212800880630085,0.05734042119593482,0.08257701075935042
pancreas_baron,42,0.05,unrescued_rare,rare_membership_score,21,0.10701547881519081,0.09938575739821258,0.11594285898032754
pancreas_baron,42,0.05,true_rescued_rare,rare_membership_score,54,0.1444608943502736,0.134058213794723,0.15501140473504407
pancreas_baron,42,0.05,baseline_correct_rare,rare_membership_score,11,0.15533344211733738,0.14365460655104478,0.1695961970424541
pancreas_baron,42,0.10,non_target,rare_membership_score,1638,0.07077414954553099,0.057825293425773285,0.08036675900410312
pancreas_baron,42,0.10,unrescued_rare,rare_membership_score,24,0.11159973684473912,0.0987725376417325,0.11560168993193454
pancreas_baron,42,0.10,baseline_correct_rare,rare_membership_score,57,0.14439198803911688,0.13325449903873202,0.15754385614392863
pancreas_baron,42,0.10,true_rescued_rare,rare_membership_score,5,0.1352408211237213,0.125805373910067,0.14241886621762354
pancreas_baron,42,all,non_target,rare_membership_score,1638,0.08536350758476591,0.058795522900272734,0.10053634847931436
pancreas_baron,42,all,baseline_correct_rare,rare_membership_score,80,0.16281063889353042,0.1425667997734705,0.18731612575765394
pancreas_baron,42,all,unrescued_rare,rare_membership_score,6,0.12614066742819574,0.11871067039822258,0.13313686789831666
pancreas_baron,43,0.01,non_target,rare_membership_score,1638,0.0918439160413958,0.07245626356526645,0.10248157827405435
pancreas_baron,43,0.01,unrescued_rare,rare_membership_score,74,0.14168813684854215,0.12395805376813152,0.15621481932816578
pancreas_baron,43,0.01,baseline_correct_rare,rare_membership_score,12,0.17231282788300994,0.16568874025355249,0.17989122346861677
pancreas_baron,43,0.05,non_target,rare_membership_score,1638,0.0918439160413958,0.07245626356526645,0.10248157827405435
pancreas_baron,43,0.05,unrescued_rare,rare_membership_score,74,0.14168813684854215,0.12395805376813152,0.15621481932816578
pancreas_baron,43,0.05,baseline_correct_rare,rare_membership_score,12,0.17231282788300994,0.16568874025355249,0.17989122346861677
pancreas_baron,43,0.10,non_target,rare_membership_score,1638,0.053414775819225366,0.031812490669990916,0.06392630106441619
pancreas_baron,43,0.10,baseline_correct_rare,rare_membership_score,57,0.09988732842438804,0.0894068465306201,0.1226303898678039
pancreas_baron,43,0.10,unrescued_rare,rare_membership_score,18,0.0676446501127896,0.06033412503193863,0.08182567348463533
pancreas_baron,43,0.10,true_rescued_rare,rare_membership_score,11,0.10490851841410585,0.10301344730813652,0.11287264123348054
pancreas_baron,43,all,non_target,rare_membership_score,1638,0.09852907074318679,0.06940597979452275,0.10958496050714797
pancreas_baron,43,all,baseline_correct_rare,rare_membership_score,77,0.16999050952388411,0.1512740349948992,0.18466943028477678
pancreas_baron,43,all,unrescued_rare,rare_membership_score,9,0.12839552271298627,0.11763033549215375,0.13372681062244604
pancreas_baron,44,0.01,non_target,rare_membership_score,1638,0.07215682599187331,0.04414724236131636,0.0887121996831062
pancreas_baron,44,0.01,unrescued_rare,rare_membership_score,42,0.13628206690109465,0.12027996321565632,0.15542642857247851
pancreas_baron,44,0.01,baseline_correct_rare,rare_membership_score,44,0.17169501493382777,0.15370211074709436,0.1918241934906602
pancreas_baron,44,0.05,non_target,rare_membership_score,1638,0.07215682599187331,0.04414724236131636,0.0887121996831062
pancreas_baron,44,0.05,unrescued_rare,rare_membership_score,42,0.13628206690109465,0.12027996321565632,0.15542642857247851
