dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_standardized_distance,107,1908,1.8508681534403657,2.803165536178894,-0.9522973827385284,-0.9755970924195223,-1.0,0.9522973827385284,0.9755970924195223
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,standardized_prototype_margin,107,1908,-0.2232853977410425,-1.9323925419307675,1.709107144189725,0.9999902035698192,1.0,1.709107144189725,0.9999902035698192
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_prototype_distance,107,1908,3.949102538133904,5.980970666741889,-2.0318681286079854,-0.9755970924195223,-1.0,2.0318681286079854,0.9755970924195223
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,nearest_nonrare_distance,107,1908,5.22764014307912,2.9049045822479678,2.3227355608311524,0.9277513274162894,1.0,2.3227355608311524,0.9277513274162894
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,prototype_margin,107,1908,1.3614321322002763,-3.0198625117343227,4.3812946439345986,0.9999118321283724,1.0,4.3812946439345986,0.9999118321283724
immune_dc,42,0.01,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,scANVI_rare_probability,107,1908,1.1591596e-05,1.82097245e-10,1.1591413902755e-05,0.9359705323380161,,,
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_membership_score,94,23,0.3862942053362315,0.2792456253569517,0.1070485799792798,0.8640148011100832,1.0,0.1070485799792798,0.8640148011100832
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_rank,94,23,1.0,1.0,0.0,0.0,-1.0,-0.0,-0.0
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_standardized_distance,94,23,0.9712843319113648,1.3118563145270232,-0.34057198261565846,-0.7363552266419982,-1.0,0.34057198261565846,0.7363552266419982
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,standardized_prototype_margin,94,23,0.7788207346109213,0.10877421560714762,0.6700465190037737,0.8945420906567993,1.0,0.6700465190037737,0.8945420906567993
