dataset,seed,rare_train_size,separability,repeat,decision_seed,original_pass,adaptive_pass,adaptive_reason,actual_folds,active_folds,val_missed,oof_delta_f1,oof_delta_f1_lcb,oof_ffr_wilson_upper,oof_false_rescues
pancreas_baron,42,all,1.159680349882819,0,552399021,False,False,"failed:active_folds,gain",5,1,6,-0.005330102967898154,-0.027097610401700646,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,1,806893958,False,False,"failed:active_folds,gain",5,1,6,-0.013916865043032356,-0.032478632478632474,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,2,2810405514,False,False,"failed:active_folds,gain",5,1,6,-0.02740878764200272,-0.0503413669036051,0.008265057188130219,4
pancreas_baron,42,all,1.159680349882819,3,3048533160,False,False,"failed:active_folds,gain",5,1,6,-0.020714718352513595,-0.041212290324174686,0.0070891437534947145,3
pancreas_baron,42,all,1.159680349882819,4,4015654751,False,False,"failed:active_folds,gain",5,1,6,-0.005330102967898154,-0.027097610401700646,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,5,1919722765,False,False,"failed:active_folds,gain",5,1,6,-0.005330102967898154,-0.0272868217054264,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,6,3541760422,False,False,"failed:active_folds,gain",5,2,6,-0.02545734414777101,-0.054555229716520055,0.00940459827509653,5
pancreas_baron,42,all,1.159680349882819,7,3919760917,False,False,"failed:active_folds,gain",5,1,6,-0.013916865043032356,-0.0294584890665568,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,8,553465981,False,False,"failed:active_folds,gain",5,2,6,-0.02740878764200272,-0.04981573262168004,0.008265057188130219,4
pancreas_baron,42,all,1.159680349882819,9,3376351227,False,False,"failed:active_folds,gain",5,2,6,-0.02545734414777101,-0.05261984392419172,0.00940459827509653,5
pancreas_baron,42,all,1.159680349882819,10,659539493,False,False,"failed:active_folds,gain",5,1,6,-0.005330102967898154,-0.027044494640143635,0.005861921247071321,2
pancreas_baron,42,all,1.159680349882819,11,4289461576,False,False,"failed:active_folds,gain",5,2,6,-0.018849916487711726,-0.04608782962109577,0.008265057188130219,4
