dataset,seed,rts,rare_class,k,sep,variant,abstain,abstain_reason,chosen_rank,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr,n_rescued,n_false_rescue
pancreas_integrated,42,0.01,endothelial,3,1.4516,kNN,False,,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,42,0.01,endothelial,3,1.4516,kNN+scRareRefine,False,,2,0.9388,1.0,0.8846,0.001764,0.001764,4,3
pancreas_integrated,42,0.05,endothelial,3,1.5432,kNN,False,,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,42,0.05,endothelial,3,1.5432,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,42,0.10,endothelial,3,1.341,kNN,False,,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,42,0.10,endothelial,3,1.341,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,42,all,endothelial,3,1.4442,kNN,False,,0,0.9388,1.0,0.8846,0.001764,0.0,0,0
pancreas_integrated,42,all,endothelial,3,1.4442,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9388,1.0,0.8846,0.001764,0.0,0,0
pancreas_integrated,43,0.01,endothelial,3,2.3225,kNN,False,,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,0.01,endothelial,3,2.3225,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,0.05,endothelial,3,1.6065,kNN,False,,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,0.05,endothelial,3,1.6065,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,0.10,endothelial,3,1.3032,kNN,False,,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,0.10,endothelial,3,1.3032,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,1.0,1.0,1.0,0.0,0.0,0,0
pancreas_integrated,43,all,endothelial,10,1.4104,kNN,False,,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,43,all,endothelial,10,1.4104,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,44,0.01,endothelial,3,1.4167,kNN,False,,0,0.9302,0.8696,1.0,0.0,0.0,0,0
