dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
immune_dc,ASDC,5,minus_separability_gate,component,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,minus_necessity_gate,component,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,fixed_rank_1,component,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,minus_conformal_tau,component,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,full_method,component,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,rank_1,rank,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,5,rank_2,rank,43,1,0.8389261744966443,0.9615384615384616,0.7440476190476191,0.007161892071952032,0.0,0.0
immune_dc,ASDC,5,rank_3,rank,43,1,0.8076923076923077,0.9692307692307692,0.6923076923076923,0.009327115256495669,0.0,0.0
immune_dc,ASDC,5,adaptive_rank,rank,43,1,0.9306122448979591,0.8769230769230769,0.991304347826087,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,baseline,component,43,1,0.8936170212765957,0.8076923076923077,,0.0,0.0,0.0
immune_dc,ASDC,13,minus_separability_gate,component,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,minus_necessity_gate,component,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,fixed_rank_1,component,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,minus_conformal_tau,component,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,full_method,component,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,rank_1,rank,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,rank_2,rank,43,1,0.8421052631578947,0.9846153846153847,0.3333333333333333,0.007661558960692871,0.0,0.0
immune_dc,ASDC,13,rank_3,rank,43,1,0.8231511254019293,0.9846153846153847,0.3026315789473684,0.00882744836775483,0.0,0.0
immune_dc,ASDC,13,adaptive_rank,rank,43,1,0.9397590361445783,0.9,0.8571428571428571,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,baseline,component,43,1,0.9300411522633745,0.8692307692307693,,0.0,0.0,0.0
immune_dc,ASDC,27,minus_separability_gate,component,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,minus_necessity_gate,component,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,fixed_rank_1,component,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,minus_conformal_tau,component,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,full_method,component,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,rank_1,rank,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,27,rank_2,rank,43,1,0.8012618296529969,0.9769230769230769,0.1891891891891892,0.009993337774816789,0.0,0.0
immune_dc,ASDC,27,rank_3,rank,43,1,0.8050314465408805,0.9846153846153847,0.2,0.009993337774816789,0.0,0.0
immune_dc,ASDC,27,adaptive_rank,rank,43,1,0.9565217391304348,0.9307692307692308,0.8,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,277,baseline,component,43,1,0.9444444444444444,0.9153846153846154,,0.0,0.0,0.0
immune_dc,ASDC,277,minus_separability_gate,component,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,277,minus_necessity_gate,component,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
