dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
immune_dc,configs/immune_dc.yaml,43,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,fixed_s1.3,1.9467985683615165,success,0.8936170212765957,0.9397590361445783,0.9,0.9831932773109243,0.04614201486798264,12,2,14,0.00033311125916055963,False,False,,1,14,14,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,no_sep_gate,1.9467985683615165,success,0.8936170212765957,0.9397590361445783,0.9,0.9831932773109243,0.04614201486798264,12,2,14,0.00033311125916055963,False,False,,1,14,14,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,adaptive_sep_gate,1.9467985683615165,success,0.8936170212765957,0.9397590361445783,0.9,0.9831932773109243,0.04614201486798264,12,2,14,0.00033311125916055963,False,False,,1,14,14,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,21.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,43,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,fixed_s1.3,1.7471778231641841,success,0.9300411522633745,0.9565217391304348,0.9307692307692308,0.983739837398374,0.02648058686706034,8,2,10,0.00033311125916055963,False,False,,1,10,10,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,no_sep_gate,1.7471778231641841,success,0.9300411522633745,0.9565217391304348,0.9307692307692308,0.983739837398374,0.02648058686706034,8,2,10,0.00033311125916055963,False,False,,1,10,10,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,adaptive_sep_gate,1.7471778231641841,success,0.9300411522633745,0.9565217391304348,0.9307692307692308,0.983739837398374,0.02648058686706034,8,2,10,0.00033311125916055963,False,False,,1,10,10,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,13.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,43,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rareall,fixed_s1.3,1.9373731002060308,success,0.9444444444444444,0.952755905511811,0.9307692307692308,0.9758064516129032,0.008311461067366577,2,0,2,0.0,False,False,,1,2,2,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rareall,no_sep_gate,1.9373731002060308,success,0.9444444444444444,0.952755905511811,0.9307692307692308,0.9758064516129032,0.008311461067366577,2,0,2,0.0,False,False,,1,2,2,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,43,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed43_asdc_rareall,adaptive_sep_gate,1.9373731002060308,success,0.9444444444444444,0.952755905511811,0.9307692307692308,0.9758064516129032,0.008311461067366577,2,0,2,0.0,False,False,,1,2,2,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,8.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,44,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,fixed_s1.3,2.7582922544892616,success,0.0,0.9473684210526315,0.9,1.0,0.9473684210526315,117,0,117,0.0,False,False,,1,117,117,,,,,,,,,,,,,,,,,,
