region,variant,n,rare_f1_mean,delta_vs_baseline_mean,delta_vs_fixed_mean,wins_vs_fixed,ties_vs_fixed,losses_vs_fixed,incremental_fpr_max,n_alpha_violations,n_abstain
ALL,adaptive_sep_gate,8,0.80934465671554,0.12627551020408162,0.12627551020408162,2,6,0,0.002442002442002442,0,6
ALL,fixed_s1.3,8,0.6830691465114583,0.0,0.0,0,8,0,0.0,0,8
ALL,no_sep_gate,8,0.8449733344762771,0.1619041879648188,0.1619041879648188,4,2,2,0.015262515262515262,2,2
SCARCE,adaptive_sep_gate,5,0.7482692307692309,0.2020408163265306,0.2020408163265306,2,3,0,0.002442002442002442,0,3
SCARCE,fixed_s1.3,5,0.5462284144427001,0.0,0.0,0,5,0,0.0,0,5
SCARCE,no_sep_gate,5,0.8079124778237728,0.2616840633810728,0.2616840633810728,4,0,1,0.015262515262515262,2,0
