region,variant,n,rare_f1_mean,delta_vs_baseline_mean,delta_vs_fixed_mean,wins_vs_fixed,ties_vs_fixed,losses_vs_fixed,incremental_fpr_max,n_alpha_violations,n_abstain
ALL,adaptive_sep_gate,24,0.7018273261951151,0.1609109569255348,0.10574435678924093,5,19,0,0.0022796352583586625,0,14
ALL,fixed_s1.3,24,0.5960829694058742,0.05516660013629388,0.0,0,24,0,0.001519756838905775,0,19
ALL,no_sep_gate,24,0.7021891730615213,0.16127280379194095,0.10610620365564706,6,18,0,0.0022796352583586625,0,13
SCARCE,adaptive_sep_gate,18,0.6444304460511062,0.2147676086748963,0.1409924757189879,5,13,0,0.0022796352583586625,0,9
SCARCE,fixed_s1.3,18,0.5034379703321182,0.07377513295590842,0.0,0,18,0,0.0007598784194528875,0,14
SCARCE,no_sep_gate,18,0.6444304460511062,0.2147676086748963,0.1409924757189879,5,13,0,0.0022796352583586625,0,9
