dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare5pct,fixed_s1.3,1.5575569452033384,success,0.96,0.9736842105263158,0.9487179487179487,1.0,0.013684210526315854,1,0,1,0.0,False,False,,1,2,1,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare5pct,no_sep_gate,1.5575569452033384,success,0.96,0.9736842105263158,0.9487179487179487,1.0,0.013684210526315854,1,0,1,0.0,False,False,,1,2,1,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.05,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare5pct,adaptive_sep_gate,1.5575569452033384,success,0.96,0.9736842105263158,0.9487179487179487,1.0,0.013684210526315854,1,0,1,0.0,False,False,,1,2,1,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,6.0,,,,,,,0.0,,,[],[]
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare10pct,fixed_s1.3,1.1743337353103396,success,0.96,0.96,0.9230769230769231,1.0,0.0,0,0,0,0.0,False,True,sep<1.3,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare10pct,no_sep_gate,1.1743337353103396,success,0.96,0.961038961038961,0.9487179487179487,0.9736842105263158,0.0010389610389610615,1,1,2,0.0008019246190858059,False,False,,1,3,2,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.10,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rare10pct,adaptive_sep_gate,1.1743337353103396,success,0.96,0.96,0.9230769230769231,1.0,0.0,0,0,0,0.0,False,True,adaptive_audit_failed,0,0,0,adaptive_audit,False,failed:gain,5.0,5.0,5.0,6.0,0.9142857142857143,0.9315068493150684,0.017221135029354184,-0.022419671180234538,0.016368481157213566,0.06165055494192539,1.0,0.0008019246190858059,0.00452856591781217,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rareall,fixed_s1.3,1.1855516451909547,success,0.975,0.975,1.0,0.9512195121951219,0.0,0,0,0,0.0,False,True,sep<1.3,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rareall,no_sep_gate,1.1855516451909547,success,0.975,0.975,1.0,0.9512195121951219,0.0,0,0,0,0.0,False,True,necessity,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,all,gamma,cell_stratified,outputs\pancreas_baron\cell_stratified_seed42_gamma_rareall,adaptive_sep_gate,1.1855516451909547,success,0.975,0.975,1.0,0.9512195121951219,0.0,0,0,0,0.0,False,True,adaptive_val_support,0,0,0,adaptive_audit,False,val_missed=1 < 3,5.0,0.0,0.0,1.0,,,,,,,0.0,,,[],[]
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.01,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare1pct,fixed_s1.3,2.313955638609834,success,0.935064935064935,0.9629629629629629,0.9512195121951219,0.975,0.027898027898027866,3,1,4,0.0006234413965087282,False,False,,2,5,4,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.01,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare1pct,no_sep_gate,2.313955638609834,success,0.935064935064935,0.9629629629629629,0.9512195121951219,0.975,0.027898027898027866,3,1,4,0.0006234413965087282,False,False,,2,5,4,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.01,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare1pct,adaptive_sep_gate,2.313955638609834,success,0.935064935064935,0.9629629629629629,0.9512195121951219,0.975,0.027898027898027866,3,1,4,0.0006234413965087282,False,False,,2,5,4,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,7.0,,,,,,,0.0,,,[],[]
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.05,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare5pct,fixed_s1.3,1.7745356147013722,success,0.935064935064935,0.926829268292683,0.926829268292683,0.926829268292683,-0.00823566677225207,2,3,5,0.0018703241895261845,False,False,,3,5,5,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.05,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare5pct,no_sep_gate,1.7745356147013722,success,0.935064935064935,0.926829268292683,0.926829268292683,0.926829268292683,-0.00823566677225207,2,3,5,0.0018703241895261845,False,False,,3,5,5,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.05,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare5pct,adaptive_sep_gate,1.7745356147013722,success,0.935064935064935,0.926829268292683,0.926829268292683,0.926829268292683,-0.00823566677225207,2,3,5,0.0018703241895261845,False,False,,3,5,5,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,9.0,,,,,,,0.0,,,[],[]
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.10,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare10pct,fixed_s1.3,1.5072763540674798,success,0.9620253164556962,0.9620253164556962,0.926829268292683,1.0,0.0,0,0,0,0.0,False,False,,1,0,0,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.10,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare10pct,no_sep_gate,1.5072763540674798,success,0.9620253164556962,0.9620253164556962,0.926829268292683,1.0,0.0,0,0,0,0.0,False,False,,1,0,0,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,0.10,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rare10pct,adaptive_sep_gate,1.5072763540674798,success,0.9620253164556962,0.9620253164556962,0.926829268292683,1.0,0.0,0,0,0,0.0,False,False,,1,0,0,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,3.0,,,,,,,0.0,,,[],[]
pancreas_integrated,configs/pancreas_integrated.yaml,42,all,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rareall,fixed_s1.3,1.495312335385661,success,0.95,0.95,0.926829268292683,0.9743589743589743,0.0,0,0,0,0.0,False,True,val_missed=2 < MIN_VAL_MISSED=3,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,all,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rareall,no_sep_gate,1.495312335385661,success,0.95,0.95,0.926829268292683,0.9743589743589743,0.0,0,0,0,0.0,False,True,necessity,0,0,0,,,,,,,,,,,,,,,,,,
pancreas_integrated,configs/pancreas_integrated.yaml,42,all,endothelial,cell_stratified,outputs\pancreas_integrated\cell_stratified_seed42_endothelial_rareall,adaptive_sep_gate,1.495312335385661,success,0.95,0.95,0.926829268292683,0.9743589743589743,0.0,0,0,0,0.0,False,True,val_missed=2 < MIN_VAL_MISSED=3,0,0,0,fixed_pass,False,fixed_s_gate_passed,5.0,0.0,0.0,2.0,,,,,,,0.0,,,[],[]
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.01,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,fixed_s1.3,2.400102014078693,success,0.0425531914893617,0.989010989010989,0.9782608695652174,1.0,0.9464577975216274,44,0,44,0.0,False,False,,1,44,44,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.01,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,no_sep_gate,2.400102014078693,success,0.0425531914893617,0.989010989010989,0.9782608695652174,1.0,0.9464577975216274,44,0,44,0.0,False,False,,1,44,44,,,,,,,,,,,,,,,,,,
