dataset,n_runs,baseline_rare_f1_mean,refined_rare_f1_mean,delta_rare_f1_mean,baseline_rare_recall_mean,refined_rare_recall_mean,delta_rare_recall_mean,incremental_fpr_max,n_alpha_violations,n_abstentions,wins_ties_losses_f1
immune_dc,4,0.6268259387350559,0.641980877460445,0.015154938725389103,0.5326923076923077,0.55,0.017307692307692288,0.00033311125916055963,0,0,3/1/0
pancreas_baron,4,0.13432784870621972,0.14160498636540708,0.007277137659187388,0.10174418604651163,0.10755813953488372,0.005813953488372093,0.0018315018315018315,0,1,1/3/0
pancreas_integrated,4,0.8441057874762808,0.8556985294117647,0.011592741935483875,0.8369565217391304,0.8478260869565217,0.010869565217391311,0.0,0,3,1/3/0
tabula_lung_endo,4,0.9006407946047168,0.9006407946047168,0.0,0.9730769230769231,0.9730769230769231,0.0,0.0,0,4,0/4/0
tabula_sapiens_stomach,4,0.11994992602708546,0.12043703053360647,0.0004871045065210026,0.171875,0.21875,0.046875,0.04809808236403647,1,0,3/0/1
tabula_small_intestine,4,0.31599158917136755,0.3189948846403207,0.003003295468953133,0.43846153846153846,0.5230769230769231,0.08461538461538462,0.05979643765903308,1,1,2/1/1
mouse_lung_tms_10x,4,0.2671574770258981,0.33188328912466847,0.06472581209877036,0.22058823529411764,0.27941176470588236,0.058823529411764705,0.004559270516717325,0,0,3/1/0
mouse_pancreas_tms_10x,4,0.47491457132347636,0.5317160125641204,0.056801441240643985,0.3626760563380282,0.426056338028169,0.06338028169014084,0.003472222222222222,0,0,2/2/0
