dataset,seed,rare_train_size,rare_class,split_mode,run_dir,backbone,representation,alpha,tosica_cutoff,status,error_reason,n_hvg,n_classes,n_labeled_train,n_labeled_rare,n_validation,n_test,n_validation_unknown,n_test_unknown,separability,baseline_rare_f1,baseline_rare_recall,baseline_rare_precision,refined_rare_f1,refined_rare_recall,refined_rare_precision,delta_rare_f1,delta_rare_recall,true_rescues,false_rescues,all_rescues,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate,wall_time_seconds,labeled_train_id_sha256,hvg_sha256
pancreas_integrated,42,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,7717,24,1303,1724,0,0,9.104051654973953,0.9583333333333334,1.0,0.92,0.9583333333333334,1.0,0.92,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,989.8047177000008,66f30eceab155228e087942c19dc6d15dba446d277eb1ea4ec2082688eff3fb0,534efdde5107acc99d79e46163017f73af4f6103c8bb5dcb9d9812c1c8ac09dd
pancreas_integrated,42,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,7936,243,1303,1724,0,0,5.244879330800664,0.9019607843137255,1.0,0.8214285714285714,0.9019607843137255,1.0,0.8214285714285714,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,982.3551920000027,cce231a3bc4a97b59a0c14891907f4733d10dee2169b67d23ea5bd1f452ea2b5,534efdde5107acc99d79e46163017f73af4f6103c8bb5dcb9d9812c1c8ac09dd
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,4,7261,5,887,1781,0,0,129.56127382457865,0.8531468531468531,0.9384615384615385,0.782051282051282,0.8531468531468531,0.9384615384615385,0.782051282051282,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,172.6028402999982,a49c99e6988ccea8ecb4a91c2d123e8750245ba60eda97616b3b04281762413b,cc44535947ba676170c9e01a3eb3584689858d1277720c7a38311b27428a87e0
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,4,7266,10,887,1781,0,0,82.90257903749148,0.9078014184397163,0.9846153846153847,0.8421052631578947,0.9078014184397163,0.9846153846153847,0.8421052631578947,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val_missed=2 < MIN_VAL_MISSED=3,0,inf,2,0,166.72134089999963,4d69cfbb53b13e443ec9e8c95fe9821ed4928a90f71e353a3da6cdbeb669b571,cc44535947ba676170c9e01a3eb3584689858d1277720c7a38311b27428a87e0
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,4,7276,20,887,1781,0,0,31.230552812513825,0.9130434782608695,0.9692307692307692,0.863013698630137,0.9130434782608695,0.9692307692307692,0.863013698630137,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,166.5193736000001,c9049ab2873880e4e211801dc6bc630913a62c93353569c9b1e003d412bb4c96,cc44535947ba676170c9e01a3eb3584689858d1277720c7a38311b27428a87e0
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,4,7464,208,887,1781,0,0,14.57224512594426,0.9285714285714286,1.0,0.8666666666666667,0.9285714285714286,1.0,0.8666666666666667,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,166.10003169999982,17b29c045ed224264b746ad8a165947b4c62ea9870e65a66d6c3ef561193b543,cc44535947ba676170c9e01a3eb3584689858d1277720c7a38311b27428a87e0
tabula_sapiens_stomach,42,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,19,14230,5,9212,9575,0,0,113.37635902105539,0.13793103448275862,0.125,0.15384615384615385,0.14925373134328357,0.15625,0.14285714285714285,0.01132269686052495,0.03125,1,8,9,0.1111111111111111,0.8888888888888888,0.0008383108037304831,0.0008383108037304831,False,False,rescue_applied,1,4.5373782955465575e-42,587,9,712.7060501999986,27fdb0eb314150ed68edc80840cf9c1b774623612ce303b32cfcfe5745467734,94d2e4551e4f4eaf65baf48787fd6e86f5d02bd107e374e380f6fe389b480135
tabula_sapiens_stomach,42,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,19,14230,5,9212,9575,0,0,113.37635902105539,0.13793103448275862,0.125,0.15384615384615385,0.14925373134328357,0.15625,0.14285714285714285,0.01132269686052495,0.03125,1,8,9,0.1111111111111111,0.8888888888888888,0.0008383108037304831,0.0008383108037304831,False,False,rescue_applied,1,4.5373782955465575e-42,587,9,709.6718323999994,27fdb0eb314150ed68edc80840cf9c1b774623612ce303b32cfcfe5745467734,94d2e4551e4f4eaf65baf48787fd6e86f5d02bd107e374e380f6fe389b480135
tabula_sapiens_stomach,42,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,19,14230,5,9212,9575,0,0,113.37635902105539,0.13793103448275862,0.125,0.15384615384615385,0.14925373134328357,0.15625,0.14285714285714285,0.01132269686052495,0.03125,1,8,9,0.1111111111111111,0.8888888888888888,0.0008383108037304831,0.0008383108037304831,False,False,rescue_applied,1,4.5373782955465575e-42,587,9,707.3587170999999,27fdb0eb314150ed68edc80840cf9c1b774623612ce303b32cfcfe5745467734,94d2e4551e4f4eaf65baf48787fd6e86f5d02bd107e374e380f6fe389b480135
tabula_sapiens_stomach,42,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,19,14277,52,9212,9575,0,0,19.928810210790086,0.066006600660066,0.3125,0.03690036900369004,0.03398692810457516,0.40625,0.017735334242837655,-0.03201967255549084,0.09375,3,459,462,0.006493506493506494,0.9935064935064936,0.04809808236403647,0.04809808236403647,True,False,rescue_applied,2,2.264738147730065e-06,231,649,701.5648316000006,2844e365326702c23e0966928bb0ca16a1b754432129c56f9264054ebe6d60f3,94d2e4551e4f4eaf65baf48787fd6e86f5d02bd107e374e380f6fe389b480135
tabula_small_intestine,42,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,34,23972,5,9715,6353,0,0,44.53108449717598,0.16216216216216217,0.18461538461538463,0.14457831325301204,0.08955223880597014,0.36923076923076925,0.050955414012738856,-0.07260992335619203,0.18461538461538463,12,376,388,0.030927835051546393,0.9690721649484536,0.05979643765903308,0.05979643765903308,True,False,rescue_applied,2,4.5651361824178124e-17,53,435,1553.5080041999972,7a9c11d6af7c89e3ca562999f963c169d1ff0a07db9af310a30f6c6fa6ca0edd,8bdd12b8e97ce6ea4040e102b759e8377e3fe0ac6972ced5b59801976e3b4f5d
tabula_small_intestine,42,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,34,23982,15,9715,6353,0,0,10.311123689067449,0.4,0.26153846153846155,0.85,0.46153846153846156,0.3230769230769231,0.8076923076923077,0.06153846153846154,0.06153846153846154,4,2,6,0.6666666666666666,0.33333333333333337,0.0003180661577608143,0.0003180661577608143,False,False,rescue_applied,1,0.00010136275272280438,41,6,1555.6238067999984,4d7727345e5206c2669ed4c51d8f31b577e24ab6bf8cb27aee64359526a3ba27,8bdd12b8e97ce6ea4040e102b759e8377e3fe0ac6972ced5b59801976e3b4f5d
