dataset,rare_train_size,method,n_ok,f1_mean,f1_std,rec_mean,rec_std,fp_rate_max
tabula_lung_endo,0.01,CellTypist,3,0.2665,0.0189,0.1538,0.0125,0.0
tabula_lung_endo,0.01,scBalance,3,0.664,0.0236,0.4974,0.0262,0.0
tabula_lung_endo,0.01,ProtoCloud,3,0.6446,0.041,0.4769,0.0453,0.0
tabula_lung_endo,0.01,HiCat,3,0.0,0.0,0.0,0.0,0.0
tabula_lung_endo,0.01,scCAD,3,0.6673,0.1549,0.5436,0.2046,0.002331
tabula_lung_endo,0.01,TOSICA,3,0.8834,0.0215,0.9487,0.0145,0.009907
tabula_lung_endo,0.01,scRareRefine,3,0.982,0.0037,0.9795,0.0145,0.001166
tabula_lung_endo,0.05,scANVI,3,0.8569,0.1347,0.7795,0.1923,0.000583
tabula_lung_endo,0.05,kNN,3,0.9256,0.0197,0.8667,0.0384,0.000583
tabula_lung_endo,0.05,CellTypist,3,0.678,0.0762,0.518,0.0882,0.0
tabula_lung_endo,0.05,scBalance,3,0.8568,0.0403,0.759,0.058,0.000583
tabula_lung_endo,0.05,ProtoCloud,3,0.8677,0.0327,0.7795,0.0508,0.000583
tabula_lung_endo,0.05,HiCat,3,0.0,0.0,0.0,0.0,0.0
tabula_lung_endo,0.05,scCAD,3,0.9195,0.0555,0.8923,0.1095,0.002331
tabula_lung_endo,0.05,TOSICA,3,0.9089,0.0194,0.9692,0.0126,0.007576
tabula_lung_endo,0.05,scRareRefine,3,0.9776,0.012,1.0,0.0,0.002914
tabula_lung_endo,0.10,scANVI,3,0.9694,0.0062,0.9743,0.0073,0.001748
tabula_lung_endo,0.10,kNN,3,0.9519,0.0065,0.9128,0.0073,0.000583
tabula_lung_endo,0.10,CellTypist,3,0.7751,0.0362,0.641,0.0523,0.000583
tabula_lung_endo,0.10,scBalance,3,0.9321,0.0084,0.882,0.0192,0.000583
tabula_lung_endo,0.10,ProtoCloud,3,0.9379,0.0107,0.8923,0.0218,0.000583
tabula_lung_endo,0.10,HiCat,3,0.0811,0.1146,0.0462,0.0653,0.0
tabula_lung_endo,0.10,scCAD,3,0.9677,0.0088,0.9949,0.0073,0.003497
tabula_lung_endo,0.10,TOSICA,3,0.9108,0.0041,0.9692,0.0126,0.00641
tabula_lung_endo,0.10,scRareRefine,3,0.9694,0.0062,0.9743,0.0073,0.001748
tabula_lung_endo,all,scANVI,3,0.9771,0.0064,0.9897,0.0145,0.001748
tabula_lung_endo,all,kNN,3,0.9794,0.0037,0.9743,0.0145,0.001166
tabula_lung_endo,all,CellTypist,3,0.9774,0.0,1.0,0.0,0.001748
tabula_lung_endo,all,scBalance,3,0.9798,0.0036,0.9949,0.0073,0.001748
tabula_lung_endo,all,ProtoCloud,3,0.9848,0.0,1.0,0.0,0.001166
tabula_lung_endo,all,HiCat,3,0.855,0.0382,0.7487,0.0594,0.0
tabula_lung_endo,all,scCAD,3,0.9702,0.0059,1.0,0.0,0.002914
tabula_lung_endo,all,TOSICA,3,0.9286,0.0,1.0,0.0,0.005828
tabula_lung_endo,all,scRareRefine,3,0.9771,0.0064,0.9897,0.0145,0.001748
tabula_small_intestine,0.01,scANVI,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,0.01,kNN,3,0.9744,0.0074,0.9795,0.0145,0.000318
tabula_small_intestine,0.01,CellTypist,3,0.8912,0.0399,0.8308,0.0652,0.000318
tabula_small_intestine,0.01,scBalance,3,0.6674,0.1704,0.5333,0.1947,0.000159
tabula_small_intestine,0.01,ProtoCloud,3,0.95,0.0102,0.9282,0.0192,0.000318
tabula_small_intestine,0.01,HiCat,3,0.0,0.0,0.0,0.0,0.0
tabula_small_intestine,0.01,scCAD,3,0.5226,0.0252,1.0,0.0,0.021151
tabula_small_intestine,0.01,TOSICA,3,0.1952,0.1517,0.1538,0.1028,0.011291
tabula_small_intestine,0.01,scRareRefine,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,0.05,scANVI,3,0.9799,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.05,kNN,3,0.9772,0.0001,0.9897,0.0073,0.000477
tabula_small_intestine,0.05,CellTypist,3,0.9797,0.0036,0.9897,0.0073,0.000318
tabula_small_intestine,0.05,scBalance,3,0.9769,0.0111,0.9846,0.0218,0.000318
tabula_small_intestine,0.05,ProtoCloud,3,0.9797,0.0036,0.9897,0.0073,0.000318
tabula_small_intestine,0.05,HiCat,3,0.104,0.0743,0.0564,0.0404,0.0
tabula_small_intestine,0.05,scCAD,3,0.5234,0.0263,1.0,0.0,0.021151
tabula_small_intestine,0.05,TOSICA,3,0.5315,0.1556,0.4051,0.1715,0.000795
tabula_small_intestine,0.05,scRareRefine,3,0.9799,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.10,scANVI,3,0.9823,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.10,kNN,3,0.9798,0.0071,0.9949,0.0073,0.000477
tabula_small_intestine,0.10,CellTypist,3,0.9799,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.10,scBalance,3,0.9724,0.0125,0.9897,0.0073,0.000795
tabula_small_intestine,0.10,ProtoCloud,3,0.9848,0.0,1.0,0.0,0.000318
tabula_small_intestine,0.10,HiCat,3,0.8776,0.0254,0.7949,0.0404,0.000159
tabula_small_intestine,0.10,scCAD,3,0.524,0.0256,1.0,0.0,0.020992
tabula_small_intestine,0.10,TOSICA,3,0.4588,0.0812,0.4154,0.0754,0.005725
tabula_small_intestine,0.10,scRareRefine,3,0.9823,0.0035,1.0,0.0,0.000477
tabula_small_intestine,all,scANVI,3,0.975,0.0034,1.0,0.0,0.000636
tabula_small_intestine,all,kNN,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,all,CellTypist,3,0.9848,0.0,1.0,0.0,0.000318
tabula_small_intestine,all,scBalance,3,0.9799,0.0069,1.0,0.0,0.000636
tabula_small_intestine,all,ProtoCloud,3,0.9848,0.0,1.0,0.0,0.000318
tabula_small_intestine,all,HiCat,3,0.9717,0.0098,0.9743,0.0192,0.000318
tabula_small_intestine,all,scCAD,3,0.522,0.026,1.0,0.0,0.02131
tabula_small_intestine,all,TOSICA,3,0.3575,0.0,0.9846,0.0,0.036419
tabula_small_intestine,all,scRareRefine,3,0.975,0.0034,1.0,0.0,0.000636
tabula_sapiens_stomach,0.01,scANVI,3,0.607,0.0495,0.4479,0.0642,0.00021
tabula_sapiens_stomach,0.01,kNN,3,0.2846,0.0441,0.1667,0.0295,0.0
tabula_sapiens_stomach,0.01,CellTypist,3,0.4905,0.1235,0.3333,0.1031,0.0
tabula_sapiens_stomach,0.01,scBalance,3,0.4338,0.1599,0.3542,0.164,0.002096
tabula_sapiens_stomach,0.01,ProtoCloud,3,0.3537,0.0944,0.2187,0.0675,0.0
tabula_sapiens_stomach,0.01,HiCat,3,0.0202,0.0286,0.0104,0.0147,0.0
tabula_sapiens_stomach,0.01,scCAD,3,0.2546,0.0557,0.8646,0.0147,0.020539
tabula_sapiens_stomach,0.01,TOSICA,3,0.1929,0.144,0.2708,0.164,0.020853
tabula_sapiens_stomach,0.01,scRareRefine,3,0.7191,0.0216,0.5729,0.0148,0.00021
tabula_sapiens_stomach,0.05,scANVI,3,0.607,0.0495,0.4479,0.0642,0.00021
tabula_sapiens_stomach,0.05,kNN,3,0.2846,0.0441,0.1667,0.0295,0.0
tabula_sapiens_stomach,0.05,CellTypist,3,0.4905,0.1235,0.3333,0.1031,0.0
tabula_sapiens_stomach,0.05,scBalance,3,0.3758,0.248,0.2604,0.1915,0.0
tabula_sapiens_stomach,0.05,ProtoCloud,3,0.3537,0.0944,0.2187,0.0675,0.0
tabula_sapiens_stomach,0.05,HiCat,3,0.0,0.0,0.0,0.0,0.0
tabula_sapiens_stomach,0.05,scCAD,3,0.2546,0.0557,0.8646,0.0147,0.020539
tabula_sapiens_stomach,0.05,TOSICA,3,0.1929,0.144,0.2708,0.164,0.020853
tabula_sapiens_stomach,0.05,scRareRefine,3,0.7191,0.0216,0.5729,0.0148,0.00021
tabula_sapiens_stomach,0.10,scANVI,3,0.607,0.0495,0.4479,0.0642,0.00021
