region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
ALL rts (8ds x 4rts x 3seed),nominal_budget,scCAD,pancreas_integrated,0.30063333333333336,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scCAD,tabula_lung_endo,0.09536666666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scCAD,tabula_sapiens_stomach,0.463725,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scCAD,tabula_small_intestine,0.45565833333333333,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,immune_dc,0.31650833333333334,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,mouse_lung_tms_10x,0.11039166666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,mouse_pancreas_tms_10x,0.3646916666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,pancreas_baron,0.5841583333333333,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,pancreas_integrated,0.12908333333333333,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,tabula_lung_endo,0.06858333333333332,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,tabula_sapiens_stomach,0.5580916666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,TOSICA,tabula_small_intestine,0.5929000000000001,12
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,immune_dc,0.34292222222222224,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,mouse_lung_tms_10x,0.14755555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,mouse_pancreas_tms_10x,0.1311,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,pancreas_baron,0.1300777777777778,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,pancreas_integrated,0.1111111111111111,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,tabula_lung_endo,0.26130000000000003,9
