dataset,seed,rare_train_size,lab_rare,rare_class,method,status,sep,best_k,rare_f1,rare_recall,rare_precision,macro_f1,rare_fp_rate,n_rescued,n_false_rescue,rescue_ffr
immune_dc,44,0.05,13,ASDC,CellTypist,ok,1.8084,,0.5792,0.4077,1.0,0.8136,0.0,51,0,0.0
immune_dc,44,0.05,13,ASDC,scBalance,ok,1.8084,,0.5057,0.3385,1.0,0.7891,0.0,42,0,0.0
immune_dc,44,0.05,13,ASDC,scRareRefine,ok,1.8084,,0.9435,0.9,0.9915,0.8903,0.000167,115,1,0.000167
immune_dc,44,0.10,27,ASDC,scANVI,ok,1.8836,,0.5714,0.4,1.0,0.823,0.0,0,0,0.0
immune_dc,44,0.10,27,ASDC,kNN,ok,1.8836,3.0,0.8182,0.6923,1.0,0.8755,0.0,38,0,0.0
immune_dc,44,0.10,27,ASDC,CellTypist,ok,1.8836,,0.7963,0.6615,1.0,0.8509,0.0,34,0,0.0
immune_dc,44,0.10,27,ASDC,scBalance,ok,1.8836,,0.5393,0.3692,1.0,0.8087,0.0,14,0,0.0
immune_dc,44,0.10,27,ASDC,scRareRefine,ok,1.8836,,0.9286,0.9,0.959,0.8847,0.000833,70,5,0.000833
immune_dc,44,all,277,ASDC,scANVI,ok,1.9359,,0.9603,0.9308,0.9918,0.879,0.000167,0,0,0.0
immune_dc,44,all,277,ASDC,kNN,ok,1.9359,3.0,0.9641,0.9308,1.0,0.8982,0.0,0,0,0.0
immune_dc,44,all,277,ASDC,CellTypist,ok,1.9359,,0.9524,0.9231,0.9836,0.8735,0.000333,4,2,0.000333
immune_dc,44,all,277,ASDC,scBalance,ok,1.9359,,0.9256,0.8615,1.0,0.8705,0.0,0,0,0.0
immune_dc,44,all,277,ASDC,scRareRefine,ok,1.9359,,0.9569,0.9385,0.976,0.8783,0.0005,3,2,0.000333
pancreas_baron,42,0.01,5,gamma,scANVI,ok,1.4228,,0.4643,0.3023,1.0,0.6532,0.0,0,0,0.0
pancreas_baron,42,0.01,5,gamma,kNN,ok,1.4228,3.0,0.297,0.1744,1.0,0.5982,0.0,4,0,0.0
pancreas_baron,42,0.01,5,gamma,CellTypist,ok,1.4228,,0.0889,0.0465,1.0,0.639,0.0,0,0,0.0
pancreas_baron,42,0.01,5,gamma,scBalance,ok,1.4228,,0.3619,0.2209,1.0,0.697,0.0,11,0,0.0
pancreas_baron,42,0.01,5,gamma,scRareRefine,ok,1.4228,,0.6515,0.5,0.9348,0.6675,0.001832,20,3,0.001832
pancreas_baron,42,0.05,5,gamma,scANVI,ok,1.4228,,0.4643,0.3023,1.0,0.6532,0.0,0,0,0.0
pancreas_baron,42,0.05,5,gamma,kNN,ok,1.4228,3.0,0.297,0.1744,1.0,0.5982,0.0,4,0,0.0
pancreas_baron,42,0.05,5,gamma,CellTypist,ok,1.4228,,0.0889,0.0465,1.0,0.639,0.0,0,0,0.0
pancreas_baron,42,0.05,5,gamma,scBalance,ok,1.4228,,0.28,0.1628,1.0,0.6726,0.0,8,0,0.0
pancreas_baron,42,0.05,5,gamma,scRareRefine,ok,1.4228,,0.6515,0.5,0.9348,0.6675,0.001832,20,3,0.001832
pancreas_baron,42,0.10,10,gamma,scANVI,ok,1.4036,,0.8056,0.6744,1.0,0.7014,0.0,0,0,0.0
pancreas_baron,42,0.10,10,gamma,kNN,ok,1.4036,3.0,0.3619,0.2209,1.0,0.5971,0.0,0,0,0.0
pancreas_baron,42,0.10,10,gamma,CellTypist,ok,1.4036,,0.4505,0.2907,1.0,0.6856,0.0,5,0,0.0
pancreas_baron,42,0.10,10,gamma,scBalance,ok,1.4036,,0.3301,0.1977,1.0,0.6901,0.0,1,0,0.0
pancreas_baron,42,0.10,10,gamma,scRareRefine,ok,1.4036,,0.8366,0.7442,0.9552,0.7039,0.001832,9,3,0.001832
pancreas_baron,42,all,106,gamma,scANVI,ok,1.1714,,0.9186,0.9186,0.9186,0.7061,0.004274,0,0,0.0
pancreas_baron,42,all,106,gamma,kNN,ok,1.1714,3.0,0.904,0.9302,0.8791,0.6451,0.006716,8,5,0.003053
pancreas_baron,42,all,106,gamma,CellTypist,ok,1.1714,,0.9829,1.0,0.9663,0.7231,0.001832,9,2,0.001221
pancreas_baron,42,all,106,gamma,scBalance,ok,1.1714,,0.9822,0.9651,1.0,0.704,0.0,6,0,0.0
pancreas_baron,42,all,106,gamma,scRareRefine,ok,1.1714,,0.9186,0.9186,0.9186,0.7061,0.004274,0,0,0.0
pancreas_baron,43,0.01,5,gamma,scANVI,ok,1.1245,,0.2449,0.1395,1.0,0.5946,0.0,0,0,0.0
pancreas_baron,43,0.01,5,gamma,kNN,ok,1.1245,3.0,0.2083,0.1163,1.0,0.6535,0.0,4,0,0.0
pancreas_baron,43,0.01,5,gamma,CellTypist,ok,1.1245,,0.023,0.0116,1.0,0.652,0.0,0,0,0.0
pancreas_baron,43,0.01,5,gamma,scBalance,ok,1.1245,,0.3925,0.2442,1.0,0.7784,0.0,15,0,0.0
pancreas_baron,43,0.01,5,gamma,scRareRefine,ok,1.1245,,0.2449,0.1395,1.0,0.5946,0.0,0,0,0.0
pancreas_baron,43,0.05,5,gamma,scANVI,ok,1.1245,,0.2449,0.1395,1.0,0.5946,0.0,0,0,0.0
pancreas_baron,43,0.05,5,gamma,kNN,ok,1.1245,3.0,0.2083,0.1163,1.0,0.6535,0.0,4,0,0.0
pancreas_baron,43,0.05,5,gamma,CellTypist,ok,1.1245,,0.023,0.0116,1.0,0.652,0.0,0,0,0.0
pancreas_baron,43,0.05,5,gamma,scBalance,ok,1.1245,,0.3137,0.186,1.0,0.7223,0.0,8,0,0.0
pancreas_baron,43,0.05,5,gamma,scRareRefine,ok,1.1245,,0.2449,0.1395,1.0,0.5946,0.0,0,0,0.0
pancreas_baron,43,0.10,10,gamma,scANVI,ok,1.5543,,0.7808,0.6628,0.95,0.6043,0.001832,0,0,0.0
pancreas_baron,43,0.10,10,gamma,kNN,ok,1.5543,5.0,0.7015,0.5465,0.9792,0.6431,0.000611,6,0,0.0
pancreas_baron,43,0.10,10,gamma,CellTypist,ok,1.5543,,0.7259,0.5698,1.0,0.7107,0.0,7,0,0.0
pancreas_baron,43,0.10,10,gamma,scBalance,ok,1.5543,,0.8609,0.7558,1.0,0.7538,0.0,16,0,0.0
pancreas_baron,43,0.10,10,gamma,scRareRefine,ok,1.5543,,0.8242,0.7907,0.8608,0.6084,0.006716,19,8,0.004884
pancreas_baron,43,all,106,gamma,scANVI,ok,1.1218,,0.9222,0.8953,0.9506,0.6229,0.002442,0,0,0.0
pancreas_baron,43,all,106,gamma,kNN,ok,1.1218,10.0,0.9146,0.8721,0.9615,0.6175,0.001832,1,0,0.0
