dataset,seed,rare_train_size,method,sep,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr
pancreas_baron,44,0.10,scRareRefine,1.1241,0.8875,0.8256,0.9595,0.001832,0.0
pancreas_baron,44,all,scANVI,1.0929,0.897,0.8605,0.9367,0.003053,0.0
pancreas_baron,44,all,kNN,1.0929,0.9143,0.9302,0.8989,0.005495,0.003663
pancreas_baron,44,all,scRareRefine,1.0929,0.897,0.8605,0.9367,0.003053,0.0
tabula_lung_endo,42,0.01,scANVI,2.3468,0.0,0.0,0.0,0.0,0.0
tabula_lung_endo,42,0.01,kNN,2.3468,0.9076,0.8308,1.0,0.0,0.0
tabula_lung_endo,42,0.01,scRareRefine,2.3468,0.9848,1.0,0.9701,0.001166,0.001166
tabula_lung_endo,42,0.05,scANVI,1.879,0.6667,0.5077,0.9706,0.000583,0.0
tabula_lung_endo,42,0.05,kNN,1.879,0.944,0.9077,0.9833,0.000583,0.000583
tabula_lung_endo,42,0.05,scRareRefine,1.879,0.963,1.0,0.9286,0.002914,0.002331
tabula_lung_endo,42,0.10,scANVI,1.6589,0.9771,0.9846,0.9697,0.001166,0.0
tabula_lung_endo,42,0.10,kNN,1.6589,0.96,0.9231,1.0,0.0,0.0
tabula_lung_endo,42,0.10,scRareRefine,1.6589,0.9771,0.9846,0.9697,0.001166,0.0
tabula_lung_endo,42,all,scANVI,1.671,0.9774,1.0,0.9559,0.001748,0.0
tabula_lung_endo,42,all,kNN,1.671,0.9771,0.9846,0.9697,0.001166,0.0
tabula_lung_endo,42,all,scRareRefine,1.671,0.9774,1.0,0.9559,0.001748,0.0
tabula_lung_endo,43,0.01,scANVI,1.9886,0.1944,0.1077,1.0,0.0,0.0
tabula_lung_endo,43,0.01,kNN,1.9886,0.8889,0.8,1.0,0.0,0.0
tabula_lung_endo,43,0.01,scRareRefine,1.9886,0.9844,0.9692,1.0,0.0,0.0
tabula_lung_endo,43,0.05,scANVI,1.6913,0.96,0.9231,1.0,0.0,0.0
tabula_lung_endo,43,0.05,kNN,1.6913,0.9344,0.8769,1.0,0.0,0.0
tabula_lung_endo,43,0.05,scRareRefine,1.6913,0.9774,1.0,0.9559,0.001748,0.001748
tabula_lung_endo,43,0.10,scANVI,1.7338,0.9618,0.9692,0.9545,0.001748,0.0
tabula_lung_endo,43,0.10,kNN,1.7338,0.944,0.9077,0.9833,0.000583,0.0
tabula_lung_endo,43,0.10,scRareRefine,1.7338,0.9618,0.9692,0.9545,0.001748,0.0
tabula_lung_endo,43,all,scANVI,1.4801,0.9848,1.0,0.9701,0.001166,0.0
tabula_lung_endo,43,all,kNN,1.4801,0.9846,0.9846,0.9846,0.000583,0.0
tabula_lung_endo,43,all,scRareRefine,1.4801,0.9848,1.0,0.9701,0.001166,0.0
tabula_lung_endo,44,0.01,scANVI,2.0898,0.7619,0.6154,1.0,0.0,0.0
tabula_lung_endo,44,0.01,kNN,2.0898,0.8793,0.7846,1.0,0.0,0.0
tabula_lung_endo,44,0.01,scRareRefine,2.0898,0.9767,0.9692,0.9844,0.000583,0.000583
tabula_lung_endo,44,0.05,scANVI,1.797,0.944,0.9077,0.9833,0.000583,0.0
tabula_lung_endo,44,0.05,kNN,1.797,0.8983,0.8154,1.0,0.0,0.0
tabula_lung_endo,44,0.05,scRareRefine,1.797,0.9924,1.0,0.9848,0.000583,0.0
tabula_lung_endo,44,0.10,scANVI,1.6894,0.9692,0.9692,0.9692,0.001166,0.0
tabula_lung_endo,44,0.10,kNN,1.6894,0.9516,0.9077,1.0,0.0,0.0
tabula_lung_endo,44,0.10,scRareRefine,1.6894,0.9692,0.9692,0.9692,0.001166,0.0
tabula_lung_endo,44,all,scANVI,1.6533,0.9692,0.9692,0.9692,0.001166,0.0
tabula_lung_endo,44,all,kNN,1.6533,0.9764,0.9538,1.0,0.0,0.0
