rare_train_size,contrast,metric,n_datasets,median_dataset_effect,q25_dataset_effect,q75_dataset_effect,dataset_direction_rate
0.05,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,5,0.9318181818181819,0.898074074074074,0.9960495188222054,1.0
0.05,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,5,0.999471737982039,0.9986979166666667,1.0,1.0
0.05,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,5,0.9318181818181819,0.898074074074074,0.9960495188222054,1.0
0.05,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,5,0.8910899806303927,0.8702222222222222,0.9699074074074074,1.0
0.05,H3b_true_rescued_vs_closest_competitor,prototype_margin,5,0.9999119563303398,0.9986979166666667,1.0,1.0
0.10,H1_baseline_correct_vs_true_rescued,rare_membership_score,4,0.753781512605042,0.5730120756436546,0.8091488807912546,1.0
0.10,H1_baseline_correct_vs_true_rescued,rare_rank,4,-0.0,-0.03947368421052633,0.12202380952380953,0.25
0.10,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,4,0.5521008403361345,0.34461152882205515,0.7059799583550234,1.0
0.10,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,4,0.9476190476190476,0.7213374344953292,0.9565423514538558,1.0
0.10,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,4,0.5521008403361345,0.34461152882205515,0.7059799583550234,1.0
0.10,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,4,0.14282296650717707,0.11542492595124176,0.3523230088495576,1.0
0.10,H1_baseline_correct_vs_true_rescued,prototype_margin,4,0.7014005602240896,0.5076782866256551,0.8163391462779801,1.0
0.10,H2_true_rescued_vs_unrescued,rare_membership_score,4,0.9160714285714286,0.8322510822510822,0.9756944444444444,1.0
0.10,H2_true_rescued_vs_unrescued,rare_rank,4,0.9772727272727273,0.9311868686868687,1.0,1.0
0.10,H2_true_rescued_vs_unrescued,rare_standardized_distance,4,0.6068181818181818,0.48081918081918085,0.7573232323232323,1.0
0.10,H2_true_rescued_vs_unrescued,standardized_prototype_margin,4,0.9696969696969697,0.9188311688311689,1.0,1.0
0.10,H2_true_rescued_vs_unrescued,rare_prototype_distance,4,0.6068181818181818,0.48081918081918085,0.7573232323232323,1.0
0.10,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,4,0.5131535131535131,0.40356865356865357,0.5762626262626263,1.0
0.10,H2_true_rescued_vs_unrescued,prototype_margin,4,0.994949494949495,0.9893939393939394,1.0,1.0
0.10,H3a_true_rescued_vs_non_target,rare_membership_score,4,0.9982683890245516,0.9961270998505041,0.9999452624862967,1.0
0.10,H3a_true_rescued_vs_non_target,rare_rank,4,0.9982304097167238,0.9951257371470138,0.9996252498334444,1.0
0.10,H3a_true_rescued_vs_non_target,rare_standardized_distance,4,0.9940798670524953,0.9882062972488505,0.9990933163911893,1.0
0.10,H3a_true_rescued_vs_non_target,standardized_prototype_margin,4,0.999145243682219,0.998435784074082,0.9997501665556296,1.0
0.10,H3a_true_rescued_vs_non_target,rare_prototype_distance,4,0.9940798670524953,0.9882062972488505,0.9990933163911893,1.0
0.10,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,4,0.8022878049666093,0.7285795764519168,0.8343063371294184,1.0
0.10,H3a_true_rescued_vs_non_target,prototype_margin,4,0.9991152048583619,0.9980582065688448,0.9998126249167223,1.0
0.10,H3b_true_rescued_vs_closest_competitor,rare_membership_score,4,0.9528574108757943,0.8688121212121211,0.9998679344955097,1.0
0.10,H3b_true_rescued_vs_closest_competitor,rare_rank,4,0.999471737982039,0.976480334245786,1.0,1.0
0.10,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,4,0.9378971970097167,0.8171454545454545,0.997754886423666,1.0
0.10,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,4,0.9996698362387745,0.9510199058733133,1.0,1.0
0.10,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,4,0.9378971970097167,0.8171454545454545,0.997754886423666,1.0
0.10,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,4,0.9038270117978517,0.7972314267876867,0.9676,1.0
0.10,H3b_true_rescued_vs_closest_competitor,prototype_margin,4,0.9998679344955098,0.9755594775008405,1.0,1.0
all,H1_baseline_correct_vs_true_rescued,rare_membership_score,3,0.8611111111111112,0.8353174603174603,0.909547152194211,1.0
all,H1_baseline_correct_vs_true_rescued,rare_rank,3,-0.008403361344537785,-0.016106442577030755,-0.004201680672268893,0.0
all,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,3,0.8571428571428572,0.8095238095238095,0.8751526251526252,1.0
all,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,3,0.8333333333333333,0.7976190476190476,0.9081196581196581,1.0
all,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,3,0.8571428571428572,0.8095238095238095,0.8751526251526252,1.0
all,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,3,0.33333333333333326,-0.02083333333333337,0.5256410256410255,0.6666666666666666
all,H1_baseline_correct_vs_true_rescued,prototype_margin,3,0.7777777777777777,0.7460317460317459,0.8803418803418803,1.0
all,H2_true_rescued_vs_unrescued,rare_membership_score,3,0.9407407407407407,0.887037037037037,0.9703703703703703,1.0
all,H2_true_rescued_vs_unrescued,rare_rank,3,1.0,1.0,1.0,1.0
all,H2_true_rescued_vs_unrescued,rare_standardized_distance,3,0.7037037037037037,0.6296296296296297,0.8518518518518519,1.0
all,H2_true_rescued_vs_unrescued,standardized_prototype_margin,3,1.0,0.9285714285714286,1.0,1.0
all,H2_true_rescued_vs_unrescued,rare_prototype_distance,3,0.7037037037037037,0.6296296296296297,0.8518518518518519,1.0
all,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,3,0.5,0.28846153846153844,0.5555555555555556,1.0
all,H2_true_rescued_vs_unrescued,prototype_margin,3,1.0,1.0,1.0,1.0
all,H3a_true_rescued_vs_non_target,rare_membership_score,3,0.9990839440373085,0.9949827015019369,0.9994604695794027,1.0
all,H3a_true_rescued_vs_non_target,rare_rank,3,0.9995003331112592,0.9959507744583651,0.9997501665556296,1.0
all,H3a_true_rescued_vs_non_target,rare_standardized_distance,3,0.9848024316109423,0.9751210692365171,0.9919296659783727,1.0
all,H3a_true_rescued_vs_non_target,standardized_prototype_margin,3,0.9989173884077283,0.9956593021065997,0.999291032043118,1.0
all,H3a_true_rescued_vs_non_target,rare_prototype_distance,3,0.9848024316109423,0.9751210692365171,0.9919296659783727,1.0
all,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,3,0.814207195203198,0.8037601325560063,0.841296199508756,1.0
all,H3a_true_rescued_vs_non_target,prototype_margin,3,0.9993337774816788,0.9973872534824808,0.9996668887408394,1.0
all,H3b_true_rescued_vs_closest_competitor,rare_membership_score,3,0.9984152139461173,0.9082985160639677,0.9992076069730587,1.0
all,H3b_true_rescued_vs_closest_competitor,rare_rank,3,0.9989434759640782,0.9540171925274936,0.999471737982039,1.0
all,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,3,0.9397781299524565,0.7880708831580464,0.9698890649762282,1.0
all,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,3,0.9973586899101954,0.8168611631369159,0.9986793449550977,1.0
all,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,3,0.9397781299524565,0.7880708831580464,0.9698890649762282,1.0
all,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,3,0.8042789223454834,0.538503097536378,0.9021394611727417,1.0
all,H3b_true_rescued_vs_closest_competitor,prototype_margin,3,1.0,0.9994717379820391,1.0,1.0
0.01,H1_baseline_correct_vs_true_rescued,rare_membership_score,3,0.675044365572316,0.5092393545033297,0.7198751239626285,1.0
0.01,H1_baseline_correct_vs_true_rescued,rare_rank,3,0.38888888888888884,0.19444444444444442,0.4384920634920635,0.6666666666666666
0.01,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,3,0.6470588235294117,0.3252129134482075,0.6703239991648833,1.0
0.01,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,3,0.725377107364685,0.5394562304500192,0.8388790298728186,1.0
0.01,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,3,0.6470588235294117,0.3252129134482075,0.6703239991648833,1.0
0.01,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,3,0.16666666666666674,-0.08535566400473227,0.3055555555555556,0.6666666666666666
0.01,H1_baseline_correct_vs_true_rescued,prototype_margin,3,0.6339618456078083,0.48701459283757415,0.6993338639803748,1.0
