dataset,seed,rare_train_size,rare_class,delta_f1_batch_heldout,delta_f1_cell_stratified,n_false_rescue_batch_heldout,n_false_rescue_cell_stratified,n_rescued_batch_heldout,n_rescued_cell_stratified,rare_test_batch_heldout,rare_test_cell_stratified,rare_train_batch_heldout,rare_train_cell_stratified,rare_val_batch_heldout,rare_val_cell_stratified,rescue_ffr_batch_heldout,rescue_ffr_cell_stratified,scANVI_f1_batch_heldout,scANVI_f1_cell_stratified,scANVI_recall_batch_heldout,scANVI_recall_cell_stratified,scRareRefine_f1_batch_heldout,scRareRefine_f1_cell_stratified,scRareRefine_recall_batch_heldout,scRareRefine_recall_cell_stratified,test_pct_batch_heldout,test_pct_cell_stratified,train_pct_batch_heldout,train_pct_cell_stratified,val_pct_batch_heldout,val_pct_cell_stratified
immune_dc,42,0.01,ASDC,0.9029535864978904,0.058651026392961825,0.0,2.0,107.0,12.0,130.0,78.0,277.0,365.0,115.0,79.0,0.0,0.0005854800936768,0.0,0.9090909090909092,0.0,0.8333333333333334,0.9029535864978904,0.967741935483871,0.823076923076923,0.9615384615384616,0.26340876884098424,0.15004079529351141,0.48486279898655904,0.6999613518271998,0.2517284321724567,0.14999785287928888
immune_dc,42,0.05,ASDC,0.10426267281105994,-0.004740111147433779,1.0,5.0,24.0,9.0,130.0,78.0,277.0,365.0,115.0,79.0,0.0001665556295802,0.001463700234192,0.8392857142857143,0.9736842105263158,0.7230769230769231,0.9487179487179488,0.9435483870967742,0.968944099378882,0.9,1.0,0.26340876884098424,0.15004079529351141,0.48486279898655904,0.6999613518271998,0.2517284321724567,0.14999785287928888
immune_dc,42,0.10,ASDC,0.04707747449682931,0.02197986577181199,2.0,4.0,14.0,11.0,130.0,78.0,277.0,365.0,115.0,79.0,0.0003331112591605,0.0011709601873536,0.8803418803418803,0.953020134228188,0.7923076923076923,0.9102564102564102,0.9274193548387096,0.975,0.8846153846153846,1.0,0.26340876884098424,0.15004079529351141,0.48486279898655904,0.6999613518271998,0.2517284321724567,0.14999785287928888
immune_dc,42,all,ASDC,0.012996869367232544,-0.005302226935312793,1.0,2.0,5.0,3.0,130.0,78.0,277.0,365.0,115.0,79.0,0.0001665556295802,0.0005854800936768,0.9397590361445785,0.9565217391304348,0.9,0.9871794871794872,0.952755905511811,0.951219512195122,0.9307692307692308,1.0,0.26340876884098424,0.15004079529351141,0.48486279898655904,0.6999613518271998,0.2517284321724567,0.14999785287928888
pancreas_baron,42,0.01,gamma,0.4299122941991076,0.0,4.0,0.0,37.0,0.0,86.0,39.0,106.0,178.0,63.0,38.0,0.0024420024420024,0.0,0.2268041237113402,0.918918918918919,0.127906976744186,0.8717948717948718,0.6567164179104478,0.918918918918919,0.5116279069767442,0.8717948717948718,0.2011903372622243,0.1500758548255339,0.6467499124752013,0.6999649900805228,0.1520597502625744,0.14995915509394328
pancreas_baron,42,0.05,gamma,0.4299122941991076,0.013684210526315854,4.0,0.0,37.0,1.0,86.0,39.0,106.0,178.0,63.0,38.0,0.0024420024420024,0.0,0.2268041237113402,0.96,0.127906976744186,0.9230769230769232,0.6567164179104478,0.9736842105263158,0.5116279069767442,0.9487179487179488,0.2011903372622243,0.1500758548255339,0.6467499124752013,0.6999649900805228,0.1520597502625744,0.14995915509394328
pancreas_baron,42,0.10,gamma,0.02412280701754388,0.0,3.0,0.0,8.0,0.0,86.0,39.0,106.0,178.0,63.0,38.0,0.0018315018315018,0.0,0.7916666666666666,0.96,0.6627906976744186,0.9230769230769232,0.8157894736842105,0.96,0.7209302325581395,0.9230769230769232,0.2011903372622243,0.1500758548255339,0.6467499124752013,0.6999649900805228,0.1520597502625744,0.14995915509394328
pancreas_baron,42,all,gamma,0.0,0.0,0.0,0.0,0.0,0.0,86.0,39.0,106.0,178.0,63.0,38.0,0.0,0.0,0.9142857142857144,0.975,0.9302325581395348,1.0,0.9142857142857144,0.975,0.9302325581395348,1.0,0.2011903372622243,0.1500758548255339,0.6467499124752013,0.6999649900805228,0.1520597502625744,0.14995915509394328
pancreas_integrated,42,0.01,endothelial,-0.061224489795918435,0.027898027898027755,3.0,1.0,3.0,4.0,23.0,41.0,243.0,191.0,7.0,41.0,0.001763668430335,0.0006234413965087,1.0,0.935064935064935,1.0,0.8780487804878049,0.9387755102040816,0.9629629629629628,1.0,0.951219512195122,0.1572562254857247,0.1500501687494299,0.7238894463194381,0.6999908784091946,0.11885432819483718,0.14995895284137553
pancreas_integrated,42,0.05,endothelial,-0.02127659574468077,-0.00823566677225207,1.0,3.0,1.0,5.0,23.0,41.0,243.0,191.0,7.0,41.0,0.0005878894767783,0.0018703241895261,1.0,0.935064935064935,1.0,0.8780487804878049,0.9787234042553192,0.926829268292683,1.0,0.926829268292683,0.1572562254857247,0.1500501687494299,0.7238894463194381,0.6999908784091946,0.11885432819483718,0.14995895284137553
pancreas_integrated,42,0.10,endothelial,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.0,243.0,191.0,7.0,41.0,0.0,0.0,0.9787234042553192,0.9620253164556962,1.0,0.926829268292683,0.9787234042553192,0.9620253164556962,1.0,0.926829268292683,0.1572562254857247,0.1500501687494299,0.7238894463194381,0.6999908784091946,0.11885432819483718,0.14995895284137553
pancreas_integrated,42,all,endothelial,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.0,243.0,191.0,7.0,41.0,0.0,0.0,0.9583333333333334,0.95,1.0,0.926829268292683,0.9583333333333334,0.95,1.0,0.926829268292683,0.1572562254857247,0.1500501687494299,0.7238894463194381,0.6999908784091946,0.11885432819483718,0.14995895284137553
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,0.9848484848484848,0.9464577975216274,2.0,0.0,67.0,44.0,65.0,46.0,208.0,215.0,34.0,46.0,0.0011655011655011,0.0,0.0,0.0425531914893617,0.0,0.0217391304347826,0.9848484848484848,0.989010989010989,1.0,0.9782608695652174,0.17577970785629687,0.15001973943939992,0.7366758784050533,0.6999605211212001,0.08754441373864982,0.15001973943939992
