dataset,split_mode,seed,rare_train_size,rare_class,status,n_train,n_val,n_test,train_pct,val_pct,test_pct,rare_train,rare_val,rare_test,split_hash,git_sha,scANVI_f1,scANVI_recall,scANVI_precision,scRareRefine_f1,scRareRefine_recall,scRareRefine_precision,delta_f1,delta_recall,rescue_ffr,n_rescued,n_false_rescue,abstained,sep
immune_dc,batch_heldout,42,0.01,ASDC,ok,11291,5862,6134,0.48486279898655904,0.2517284321724567,0.26340876884098424,277,115,130,33b8ce5bdff2e437,unknown,0.0,0.0,0.0,0.9029535864978904,0.823076923076923,1.0,0.9029535864978904,0.823076923076923,0.0,107,0,False,
immune_dc,batch_heldout,42,0.05,ASDC,ok,11291,5862,6134,0.48486279898655904,0.2517284321724567,0.26340876884098424,277,115,130,33b8ce5bdff2e437,unknown,0.8392857142857143,0.7230769230769231,1.0,0.9435483870967742,0.9,0.9915254237288136,0.10426267281105994,0.17692307692307696,0.0001665556295802,24,1,False,
immune_dc,batch_heldout,42,0.10,ASDC,ok,11291,5862,6134,0.48486279898655904,0.2517284321724567,0.26340876884098424,277,115,130,33b8ce5bdff2e437,unknown,0.8803418803418803,0.7923076923076923,0.9903846153846154,0.9274193548387096,0.8846153846153846,0.9745762711864406,0.04707747449682931,0.09230769230769231,0.0003331112591605,14,2,False,
immune_dc,batch_heldout,42,all,ASDC,ok,11291,5862,6134,0.48486279898655904,0.2517284321724567,0.26340876884098424,277,115,130,33b8ce5bdff2e437,unknown,0.9397590361445785,0.9,0.9831932773109244,0.952755905511811,0.9307692307692308,0.9758064516129032,0.012996869367232544,0.03076923076923077,0.0001665556295802,5,1,False,
immune_dc,cell_stratified,42,0.01,ASDC,ok,16300,3493,3494,0.6999613518271998,0.14999785287928888,0.15004079529351141,365,79,78,6c929adee0701cb5,91746c9,0.9090909090909092,0.8333333333333334,1.0,0.967741935483871,0.9615384615384616,0.974025974025974,0.058651026392961825,0.1282051282051282,0.0005854800936768,12,2,False,
immune_dc,cell_stratified,42,0.05,ASDC,ok,16300,3493,3494,0.6999613518271998,0.14999785287928888,0.15004079529351141,365,79,78,6c929adee0701cb5,91746c9,0.9736842105263158,0.9487179487179488,1.0,0.968944099378882,1.0,0.9397590361445785,-0.004740111147433779,0.05128205128205121,0.001463700234192,9,5,False,
immune_dc,cell_stratified,42,0.10,ASDC,ok,16300,3493,3494,0.6999613518271998,0.14999785287928888,0.15004079529351141,365,79,78,6c929adee0701cb5,91746c9,0.953020134228188,0.9102564102564102,1.0,0.975,1.0,0.951219512195122,0.02197986577181199,0.08974358974358976,0.0011709601873536,11,4,False,
immune_dc,cell_stratified,42,all,ASDC,ok,16300,3493,3494,0.6999613518271998,0.14999785287928888,0.15004079529351141,365,79,78,6c929adee0701cb5,91746c9,0.9565217391304348,0.9871794871794872,0.927710843373494,0.951219512195122,1.0,0.9069767441860463,-0.005302226935312793,0.012820512820512775,0.0005854800936768,3,2,False,
pancreas_baron,batch_heldout,42,0.01,gamma,ok,5542,1303,1724,0.6467499124752013,0.1520597502625744,0.2011903372622243,106,63,86,507baa4fe66b76ae,unknown,0.2268041237113402,0.127906976744186,1.0,0.6567164179104478,0.5116279069767442,0.9166666666666666,0.4299122941991076,0.3837209302325582,0.0024420024420024,37,4,False,
pancreas_baron,batch_heldout,42,0.05,gamma,ok,5542,1303,1724,0.6467499124752013,0.1520597502625744,0.2011903372622243,106,63,86,507baa4fe66b76ae,unknown,0.2268041237113402,0.127906976744186,1.0,0.6567164179104478,0.5116279069767442,0.9166666666666666,0.4299122941991076,0.3837209302325582,0.0024420024420024,37,4,False,
