dataset,seed,rare_train_size,rare_class,split_mode,run_dir,variant,variant_group,status,error_reason,separability,alpha,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,effective_budget_key,rare_f1,rare_recall,rare_precision,true_rescues,false_rescues,all_rescues,rescue_precision,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,baseline,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.8392857142857143,0.7230769230769231,1.0,0,0,0,,0.0,0.0,False,False,baseline_no_rescue,0,,29,0
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,minus_separability_gate,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,minus_necessity_gate,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,fixed_rank_1,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,minus_conformal_tau,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9397590361445783,0.9,0.9831932773109243,23,2,25,0.92,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,-inf,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,full_method,component,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,rank_1,rank,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,rank_2,rank,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.8063492063492064,0.9769230769230769,0.6864864864864865,33,58,91,0.3626373626373626,0.009660226515656229,0.009660226515656229,False,False,rescue_applied,2,0.147355569901507,29,428
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,rank_3,rank,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.7962382445141066,0.9769230769230769,0.671957671957672,33,62,95,0.3473684210526316,0.010326449033977348,0.010326449033977348,True,False,rescue_applied,3,0.147355569901507,29,678
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,adaptive_rank,rank,success,,2.137647998234371,0.01,33b8ce5bdff2e437,13,7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",13,""7c5ab9c1de968c2ebc873a0fe905d8299204e4f8653acd81debbe11670cfc7f1""]",0.9435483870967742,0.9,0.9915254237288136,23,1,24,0.9583333333333334,0.00016655562958027982,0.00016655562958027982,False,False,rescue_applied,1,0.147355569901507,29,25
