dataset,rare_class,seed,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,n_folded_nominal_budgets,folded_nominal_budgets,source_run_dirs,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
tabula_small_intestine,intestinal tuft cell,44,2d3d2e6d369f4cb5,31,5e0d7c91f4b05efc50d7a52930252df3bd60bff6559299488a451776a90c2c92,1,"[""0.10""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed44_intestinal_tuft_cell_rare10pct""]",24282,23998,315,55,65,435,86,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,44,2d3d2e6d369f4cb5,315,e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d,1,"[""all""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed44_intestinal_tuft_cell_rareall""]",24282,24282,315,55,65,435,370,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
mouse_lung_tms_10x,vein endothelial cell,42,c89516c458d2c8f2,5,b3af521e13912c84eeafd8441325bce2fac130b7de11316cc5ff19b9c0b61312,1,"[""0.01""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed42_vein_endothelial_cell_rare1pct""]",21585,21377,213,56,51,320,61,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,42,c89516c458d2c8f2,10,5fc7f66fe892c904aac29544dfe4fb7055171c53195ffbf3c1fcf8b191fd8eaf,1,"[""0.05""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed42_vein_endothelial_cell_rare5pct""]",21585,21382,213,56,51,320,66,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,42,c89516c458d2c8f2,21,c7bb134b104f6e9562d93c5df926dbc69d9fcbf75e7db3fafc9af79d9d7ff1af,1,"[""0.10""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed42_vein_endothelial_cell_rare10pct""]",21585,21393,213,56,51,320,77,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,42,c89516c458d2c8f2,213,f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4,1,"[""all""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed42_vein_endothelial_cell_rareall""]",21585,21585,213,56,51,320,269,1.0,0.665625,0.840625,0.009867963863794302
mouse_lung_tms_10x,vein endothelial cell,43,c89516c458d2c8f2,5,5ca25d2e9c488b74c18e4979f7005ca0541ed8e4db4ba47582cdd7647177de6b,1,"[""0.01""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed43_vein_endothelial_cell_rare1pct""]",21585,21377,213,56,51,320,61,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,43,c89516c458d2c8f2,10,5a4b43e0f204ccce3c15b7b25d9a442a0681b1c0136da6683f503ae6c5594bd0,1,"[""0.05""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed43_vein_endothelial_cell_rare5pct""]",21585,21382,213,56,51,320,66,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,43,c89516c458d2c8f2,21,212ceb23dcb2209d5fd6e70a4a76819b7ff6893d15e84a26f66a977883a615cb,1,"[""0.10""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed43_vein_endothelial_cell_rare10pct""]",21585,21393,213,56,51,320,77,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,43,c89516c458d2c8f2,213,f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4,1,"[""all""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed43_vein_endothelial_cell_rareall""]",21585,21585,213,56,51,320,269,1.0,0.665625,0.840625,0.009867963863794302
mouse_lung_tms_10x,vein endothelial cell,44,c89516c458d2c8f2,5,463b0d6d1a90ae9602a4ac6c04d253db2a92bd787404fb45831c91aa703655e3,1,"[""0.01""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed44_vein_endothelial_cell_rare1pct""]",21585,21377,213,56,51,320,61,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,44,c89516c458d2c8f2,10,9fd90210711d434675440f488f402117f5581e81063b8d2d9a0005874b647a02,1,"[""0.05""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed44_vein_endothelial_cell_rare5pct""]",21585,21382,213,56,51,320,66,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,44,c89516c458d2c8f2,21,b5de6c4a6b7a796203d81ee2b88a2e0cc4b4f0b9c2062ccf7c945f1d4e6913eb,1,"[""0.10""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed44_vein_endothelial_cell_rare10pct""]",21585,21393,213,56,51,320,77,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,44,c89516c458d2c8f2,213,f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4,1,"[""all""]","[""outputs\\mouse_lung_tms_10x\\batch_heldout_seed44_vein_endothelial_cell_rareall""]",21585,21585,213,56,51,320,269,1.0,0.665625,0.840625,0.009867963863794302
mouse_pancreas_tms_10x,pancreatic D cell,42,18225570fcb5d9ef,5,be6aec7ff639ff73bdf5413e4fbd6d1534e5f2c491a3cb3d65976176b5cdb570,1,"[""0.01""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed42_pancreatic_d_cell_rare1pct""]",4821,4652,174,27,71,272,32,0.028735632183908046,0.01838235294117647,0.11764705882352941,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,42,18225570fcb5d9ef,8,bbbec7c6d0177f389b045dd715d8433692d421b0b88e233bbc32464e3b784aed,1,"[""0.05""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed42_pancreatic_d_cell_rare5pct""]",4821,4655,174,27,71,272,35,0.04597701149425287,0.029411764705882353,0.12867647058823528,0.0016594067620825555
mouse_pancreas_tms_10x,pancreatic D cell,42,18225570fcb5d9ef,17,e74bc08ab2e53fd5a8cbc909636e0cd6a5ba5fe294e7e3414d08bfdd6b4f077a,1,"[""0.10""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed42_pancreatic_d_cell_rare10pct""]",4821,4664,174,27,71,272,44,0.09770114942528736,0.0625,0.16176470588235295,0.0035262393694254304
mouse_pancreas_tms_10x,pancreatic D cell,42,18225570fcb5d9ef,174,8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c,1,"[""all""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed42_pancreatic_d_cell_rareall""]",4821,4821,174,27,71,272,201,1.0,0.6397058823529411,0.7389705882352942,0.03609209707529558
mouse_pancreas_tms_10x,pancreatic D cell,43,18225570fcb5d9ef,5,5df8f7d057bcbf31d246b2c427e5d339b76c9003097e3275cc6bfe04d46781f1,1,"[""0.01""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed43_pancreatic_d_cell_rare1pct""]",4821,4652,174,27,71,272,32,0.028735632183908046,0.01838235294117647,0.11764705882352941,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,43,18225570fcb5d9ef,8,95679432a5bff1e76d60faed7017041b619e279f857d68a205356284d685eebf,1,"[""0.05""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed43_pancreatic_d_cell_rare5pct""]",4821,4655,174,27,71,272,35,0.04597701149425287,0.029411764705882353,0.12867647058823528,0.0016594067620825555
mouse_pancreas_tms_10x,pancreatic D cell,43,18225570fcb5d9ef,17,3a237894e6f21599ddea3fb9a0a11b5f4b5ae12224dd1ff4d572d9d50256a344,1,"[""0.10""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed43_pancreatic_d_cell_rare10pct""]",4821,4664,174,27,71,272,44,0.09770114942528736,0.0625,0.16176470588235295,0.0035262393694254304
mouse_pancreas_tms_10x,pancreatic D cell,43,18225570fcb5d9ef,174,8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c,1,"[""all""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed43_pancreatic_d_cell_rareall""]",4821,4821,174,27,71,272,201,1.0,0.6397058823529411,0.7389705882352942,0.03609209707529558
mouse_pancreas_tms_10x,pancreatic D cell,44,18225570fcb5d9ef,5,9b15207fbaeeddd62642c3690cea35eb113a5129d818a3409b6ca0af3bfbfbc0,1,"[""0.01""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed44_pancreatic_d_cell_rare1pct""]",4821,4652,174,27,71,272,32,0.028735632183908046,0.01838235294117647,0.11764705882352941,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,44,18225570fcb5d9ef,8,6c3befb76a63a359893ae3cbab29c4a843d77a945fb71256dfc39dd9819b23ea,1,"[""0.05""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed44_pancreatic_d_cell_rare5pct""]",4821,4655,174,27,71,272,35,0.04597701149425287,0.029411764705882353,0.12867647058823528,0.0016594067620825555
mouse_pancreas_tms_10x,pancreatic D cell,44,18225570fcb5d9ef,17,20f856aaee7005c8eff84059b675103e6d495cf5dd83fbb9cd434aab50dc0575,1,"[""0.10""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed44_pancreatic_d_cell_rare10pct""]",4821,4664,174,27,71,272,44,0.09770114942528736,0.0625,0.16176470588235295,0.0035262393694254304
mouse_pancreas_tms_10x,pancreatic D cell,44,18225570fcb5d9ef,174,8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c,1,"[""all""]","[""outputs\\mouse_pancreas_tms_10x\\batch_heldout_seed44_pancreatic_d_cell_rareall""]",4821,4821,174,27,71,272,201,1.0,0.6397058823529411,0.7389705882352942,0.03609209707529558
