dataset,rare_class,seed,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,n_folded_nominal_budgets,folded_nominal_budgets,source_run_dirs,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
immune_dc,ASDC,44,33b8ce5bdff2e437,277,e80ab3fb142a5476d4f21795b2a9d07dd2d9f42dddbab050601eb3ac3e815da6,1,"[""all""]","[""outputs\\immune_dc\\batch_heldout_seed44_asdc_rareall""]",11291,11291,277,115,130,522,392,1.0,0.5306513409961686,0.7509578544061303,0.024532813745460985
pancreas_baron,gamma,42,507baa4fe66b76ae,5,91c14127c42187d198761b2fe29cd7815caf706dfe582cc16f94eb9fc6dd09e4,2,"[""0.01"",""0.05""]","[""outputs\\pancreas_baron\\batch_heldout_seed42_gamma_rare1pct"",""outputs\\pancreas_baron\\batch_heldout_seed42_gamma_rare5pct""]",5542,5441,106,63,86,255,68,0.04716981132075472,0.0196078431372549,0.26666666666666666,0.0009022013713460845
pancreas_baron,gamma,42,507baa4fe66b76ae,10,d86a1cee15778924f072107a50c3bc9a56438d7b40cc313f96966bcc5dbcc3fb,1,"[""0.10""]","[""outputs\\pancreas_baron\\batch_heldout_seed42_gamma_rare10pct""]",5542,5446,106,63,86,255,73,0.09433962264150944,0.0392156862745098,0.28627450980392155,0.001804402742692169
pancreas_baron,gamma,42,507baa4fe66b76ae,106,8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af,1,"[""all""]","[""outputs\\pancreas_baron\\batch_heldout_seed42_gamma_rareall""]",5542,5542,106,63,86,255,169,1.0,0.41568627450980394,0.6627450980392157,0.01912666907253699
pancreas_baron,gamma,43,507baa4fe66b76ae,5,7af4f6da1c598503afb8841d731c6337f3c7f6846b4ed2f06c452882530ce734,2,"[""0.01"",""0.05""]","[""outputs\\pancreas_baron\\batch_heldout_seed43_gamma_rare1pct"",""outputs\\pancreas_baron\\batch_heldout_seed43_gamma_rare5pct""]",5542,5441,106,63,86,255,68,0.04716981132075472,0.0196078431372549,0.26666666666666666,0.0009022013713460845
pancreas_baron,gamma,43,507baa4fe66b76ae,10,62cf506b31a1c94f259fe893c5db61e271a3566a3da6e7df0bb5fcb1ba7242a8,1,"[""0.10""]","[""outputs\\pancreas_baron\\batch_heldout_seed43_gamma_rare10pct""]",5542,5446,106,63,86,255,73,0.09433962264150944,0.0392156862745098,0.28627450980392155,0.001804402742692169
pancreas_baron,gamma,43,507baa4fe66b76ae,106,8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af,1,"[""all""]","[""outputs\\pancreas_baron\\batch_heldout_seed43_gamma_rareall""]",5542,5542,106,63,86,255,169,1.0,0.41568627450980394,0.6627450980392157,0.01912666907253699
pancreas_baron,gamma,44,507baa4fe66b76ae,5,cd9e347cb4e0f600448824330abd92487002dfa9c2d43ad805faafe376d9a07e,2,"[""0.01"",""0.05""]","[""outputs\\pancreas_baron\\batch_heldout_seed44_gamma_rare1pct"",""outputs\\pancreas_baron\\batch_heldout_seed44_gamma_rare5pct""]",5542,5441,106,63,86,255,68,0.04716981132075472,0.0196078431372549,0.26666666666666666,0.0009022013713460845
pancreas_baron,gamma,44,507baa4fe66b76ae,10,4babf0fc31ac32cb04880a738a3b9116672ee5a0f675dfd75af2d4fd3306595c,1,"[""0.10""]","[""outputs\\pancreas_baron\\batch_heldout_seed44_gamma_rare10pct""]",5542,5446,106,63,86,255,73,0.09433962264150944,0.0392156862745098,0.28627450980392155,0.001804402742692169
pancreas_baron,gamma,44,507baa4fe66b76ae,106,8dfb4dd19ceaa1ab45feb7c70086bb21ac49cd50b303415151629660f7a9b3af,1,"[""all""]","[""outputs\\pancreas_baron\\batch_heldout_seed44_gamma_rareall""]",5542,5542,106,63,86,255,169,1.0,0.41568627450980394,0.6627450980392157,0.01912666907253699
