dataset,rare_class,actual_training_labeled_rare_count,seed,n_identity_runs,split_hashes,identity_hashes,folded_nominal_budgets,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
pancreas_integrated,endothelial,12,42,1,"[""2373a4f6ec6225a2""]","[""c3df48297ac9ad0cff1f1b7e7d96ffc01c33f538d4e1b1bd3596760bf47850a4""]","[""0.05""]",7936.0,7705.0,243.0,7.0,23.0,273.0,19.0,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,24,42,1,"[""2373a4f6ec6225a2""]","[""d1150c292e94762d2befd3c7c94696984ce7dc619fbf498dd3ae0c74b32a566b""]","[""0.10""]",7936.0,7717.0,243.0,7.0,23.0,273.0,31.0,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
pancreas_integrated,endothelial,243,42,1,"[""2373a4f6ec6225a2""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]","[""all""]",7936.0,7936.0,243.0,7.0,23.0,273.0,250.0,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
pancreas_integrated,endothelial,5,43,1,"[""2373a4f6ec6225a2""]","[""9a03e5aff3d10f4f6336e98732ba34a9ace481ed3ad1159c938c4a1132b05be6""]","[""0.01""]",7936.0,7698.0,243.0,7.0,23.0,273.0,12.0,0.0205761316872428,0.018315018315018316,0.04395604395604396,0.0006300403225806451
pancreas_integrated,endothelial,12,43,1,"[""2373a4f6ec6225a2""]","[""8de3b551ba3e91401fb92abced14cee7f47afd3603fe84841be80fd3f4f340a6""]","[""0.05""]",7936.0,7705.0,243.0,7.0,23.0,273.0,19.0,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,24,43,1,"[""2373a4f6ec6225a2""]","[""8623132c05cdb9f8444dc4147fa5f981585d45843359abe89382fcc9231b40b8""]","[""0.10""]",7936.0,7717.0,243.0,7.0,23.0,273.0,31.0,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
pancreas_integrated,endothelial,243,43,1,"[""2373a4f6ec6225a2""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]","[""all""]",7936.0,7936.0,243.0,7.0,23.0,273.0,250.0,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
pancreas_integrated,endothelial,5,44,1,"[""2373a4f6ec6225a2""]","[""5a096829621975cb4e5f80d445af601df0463bdc488c46ef3fe7c9e15d792b4a""]","[""0.01""]",7936.0,7698.0,243.0,7.0,23.0,273.0,12.0,0.0205761316872428,0.018315018315018316,0.04395604395604396,0.0006300403225806451
pancreas_integrated,endothelial,12,44,1,"[""2373a4f6ec6225a2""]","[""00d3e6540e6ea3aa0be396c712ffab70e5b346b80054bf1151a23669a0d6609b""]","[""0.05""]",7936.0,7705.0,243.0,7.0,23.0,273.0,19.0,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,24,44,1,"[""2373a4f6ec6225a2""]","[""9749e0aede85c354c2c1910e60f2ca93cd579894f18cecc5bcb9af574f15a62c""]","[""0.10""]",7936.0,7717.0,243.0,7.0,23.0,273.0,31.0,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
