dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,baseline,0.7619047619047619,0.6153846153846154,1.0,0.8562112813824584
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,knn_k15,0.7254901960784313,0.5692307692307692,1.0,0.8940332572546462
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,lr,0.0,0.0,0.0,0.8444734268014347
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,scbalance,0.56353591160221,0.3923076923076923,1.0,0.8770785784153896
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,scRareRefine,0.8558951965065502,0.7538461538461538,0.98989898989899,0.8589827192696446
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,baseline,0.015267175572519,0.0076923076923076,1.0,0.8544179980436909
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.8852298663188783
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,lr,0.0,0.0,0.0,0.845614607107923
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,scbalance,0.1021897810218978,0.0538461538461538,1.0,0.8733289859797848
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,scRareRefine,0.9068825910931174,0.8615384615384616,0.9572649572649572,0.871698728399087
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,baseline,0.1159420289855072,0.0615384615384615,1.0,0.8829475057059015
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,knn_k15,0.5792349726775956,0.4076923076923077,1.0,0.8946853602869254
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,lr,0.0451127819548872,0.023076923076923,1.0,0.845614607107923
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,scbalance,0.2191780821917808,0.123076923076923,1.0,0.8733289859797848
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,scRareRefine,0.944,0.9076923076923076,0.9833333333333332,0.9005542875774373
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,baseline,0.9561752988047808,0.9230769230769232,0.9917355371900828,0.8819693511574829
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,knn_k15,0.934959349593496,0.8846153846153846,0.9913793103448276,0.8990870557548093
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,lr,0.9375,0.9230769230769232,0.9523809523809524,0.8643625692859471
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,scbalance,0.9365079365079364,0.9076923076923076,0.9672131147540984,0.88408868601239
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,scRareRefine,0.9561752988047808,0.9230769230769232,0.9917355371900828,0.8819693511574829
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,baseline,0.9918367346938776,0.9838056680161944,1.0,0.8919139223997392
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,knn_k15,0.9708333333333332,0.9433198380566802,1.0,0.9060971633518096
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,lr,0.0923076923076923,0.048582995951417,0.9230769230769232,0.8273557222041082
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,scbalance,0.1,0.0526315789473684,1.0,0.8506684056080861
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,scRareRefine,0.9919028340080972,0.9919028340080972,0.9919028340080972,0.8919139223997392
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,baseline,0.0,0.0,0.0,0.8606129768503423
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.8619171829149006
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,lr,0.3129251700680272,0.1862348178137652,0.9787234042553192,0.8335507010107597
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,scbalance,0.3082191780821918,0.1821862348178137,1.0,0.85507010107597
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,scRareRefine,0.9835390946502056,0.9676113360323888,1.0,0.8995761330290186
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,baseline,0.10727969348659,0.0566801619433198,1.0,0.8363221388979458
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,knn_k15,0.8511627906976744,0.7408906882591093,1.0,0.8914248451255299
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,lr,0.4984802431610942,0.3319838056680162,1.0,0.8389305510270623
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,scbalance,0.3082191780821918,0.1821862348178137,1.0,0.8545810238017607
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,scRareRefine,0.979591836734694,0.97165991902834,0.9876543209876544,0.8726768829475057
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,baseline,0.9938900203665988,0.9878542510121456,1.0,0.8819693511574829
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,knn_k15,0.9938900203665988,0.9878542510121456,1.0,0.8990870557548093
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,lr,0.98989898989899,0.9919028340080972,0.9879032258064516,0.8643625692859471
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,scbalance,1.0,1.0,1.0,0.887675252689925
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,scRareRefine,0.9919354838709676,0.9959514170040484,0.9879518072289156,0.8818063253994131
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,baseline,0.9166666666666666,0.8461538461538461,1.0,0.8852298663188783
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,knn_k15,0.7559808612440191,0.6076923076923076,1.0,0.8958265405934137
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,lr,0.0583941605839416,0.0307692307692307,0.5714285714285714,0.8451255298337137
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,scbalance,0.2312925170068027,0.1307692307692307,1.0,0.8723508314313662
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,scRareRefine,0.9392712550607288,0.8923076923076924,0.9914529914529916,0.8860449951092273
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,baseline,0.1159420289855072,0.0615384615384615,1.0,0.8596348223019237
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,knn_k15,0.0,0.0,0.0,0.8783827844799479
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,lr,0.0300751879699248,0.0153846153846153,0.6666666666666666,0.8459406586240626
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,scbalance,0.2432432432432432,0.1384615384615384,1.0,0.8694163677861102
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,scRareRefine,0.907563025210084,0.8307692307692308,1.0,0.8759373981089013
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,baseline,0.5869565217391305,0.4153846153846154,1.0,0.8808281708509944
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,knn_k15,0.4971098265895953,0.3307692307692307,1.0,0.8875122269318553
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,lr,0.015267175572519,0.0076923076923076,1.0,0.8459406586240626
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,scbalance,0.1021897810218978,0.0538461538461538,1.0,0.8747962178024128
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,scRareRefine,0.7128712871287128,0.5538461538461539,1.0,0.8837626344962504
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,baseline,0.9402390438247012,0.9076923076923076,0.975206611570248,0.8946853602869254
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,knn_k15,0.9173553719008264,0.8538461538461538,0.9910714285714286,0.8958265405934137
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,lr,0.9375,0.9230769230769232,0.9523809523809524,0.8643625692859471
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,scbalance,0.9523809523809524,0.9230769230769232,0.9836065573770492,0.8910987936093903
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,scRareRefine,0.9402390438247012,0.9076923076923076,0.975206611570248,0.8946853602869254
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,baseline,0.9959349593495936,0.9919028340080972,1.0,0.8933811542223671
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,knn_k15,0.9533898305084746,0.9109311740890688,1.0,0.8968046951418324
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,lr,0.254416961130742,0.145748987854251,1.0,0.8299641343332247
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,scbalance,0.2293906810035842,0.1295546558704453,1.0,0.8583306162373655
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,scRareRefine,0.9979716024340772,0.9959514170040484,1.0,0.8935441799804369
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,44,baseline,0.0080645161290322,0.0040485829959514,1.0,0.8232800782523638
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,44,knn_k15,0.0,0.0,0.0,0.8576785132050864
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,44,lr,0.2036363636363636,0.1133603238866396,1.0,0.8296380828170851
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,44,scbalance,0.6353591160220995,0.4655870445344129,1.0,0.8620802086729703
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,44,scRareRefine,0.981443298969072,0.9635627530364372,1.0,0.8619171829149006
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,44,baseline,0.1771217712177121,0.097165991902834,1.0,0.8637104662536681
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,44,knn_k15,0.765,0.6194331983805668,1.0,0.8863710466253668
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,44,lr,0.380327868852459,0.2348178137651821,1.0,0.8342028040430388
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,44,scbalance,0.3139931740614334,0.1862348178137652,1.0,0.8553961525921095
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,44,scRareRefine,0.9857433808553973,0.979757085020243,0.9918032786885246,0.8990870557548093
immune_dc_cDC1,DC-cDC1,cDC1,all,all,44,baseline,0.9959349593495936,0.9919028340080972,1.0,0.8946853602869254
immune_dc_cDC1,DC-cDC1,cDC1,all,all,44,knn_k15,0.9959349593495936,0.9919028340080972,1.0,0.8958265405934137
immune_dc_cDC1,DC-cDC1,cDC1,all,all,44,lr,0.98989898989899,0.9919028340080972,0.9879032258064516,0.8643625692859471
immune_dc_cDC1,DC-cDC1,cDC1,all,all,44,scbalance,0.9938900203665988,0.9878542510121456,1.0,0.8827844799478317
immune_dc_cDC1,DC-cDC1,cDC1,all,all,44,scRareRefine,0.9959514170040484,0.9959514170040484,0.9959514170040484,0.8946853602869254
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,baseline,0.9885057471264368,1.0,0.9772727272727272,0.9756380510440836
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,knn_k15,0.9642857142857144,0.9418604651162792,0.9878048780487804,0.9425754060324826
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,lr,0.0,0.0,0.0,0.929814385150812
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,scbalance,0.1875,0.1046511627906976,0.9,0.9390951276102087
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,42,scRareRefine,0.9885057471264368,1.0,0.9772727272727272,0.9756380510440836
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,baseline,0.0,0.0,0.0,0.9234338747099768
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.8961716937354989
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,lr,0.0229885057471264,0.0116279069767441,1.0,0.929814385150812
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,scbalance,0.3773584905660377,0.2325581395348837,1.0,0.9385150812064964
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,42,scRareRefine,0.2626262626262626,0.1511627906976744,1.0,0.9309744779582366
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,baseline,0.9882352941176472,0.9767441860465116,1.0,0.9779582366589328
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,knn_k15,0.9454545454545454,0.9069767441860463,0.9873417721518988,0.9425754060324826
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,lr,0.0454545454545454,0.0232558139534883,1.0,0.9303944315545244
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,scbalance,0.2083333333333333,0.1162790697674418,1.0,0.9321345707656612
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,42,scRareRefine,0.9882352941176472,0.9767441860465116,1.0,0.9779582366589328
pancreas_gamma,Pancreas-γ,gamma,all,all,42,baseline,0.9885057471264368,1.0,0.9772727272727272,0.9704176334106728
