low_sep,dataset,seed,rts,sep,baseline_f1,f1,gain,ffr,n_false,abstain
0.7,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.0,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.3,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.6,pancreas_baron,42,0.10,1.4422,0.7917,0.7917,0.0,0.0,0,True
0.0,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
0.7,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
1.0,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
1.3,pancreas_baron,42,all,1.1597,0.9143,0.9143,0.0,0.0,0,True
1.6,pancreas_baron,42,all,1.1597,0.9143,0.9143,0.0,0.0,0,True
0.0,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
0.7,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.0,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.3,pancreas_baron,43,0.01,1.1245,0.2449,0.2449,0.0,0.0,0,True
1.6,pancreas_baron,43,0.01,1.1245,0.2449,0.2449,0.0,0.0,0,True
0.0,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
0.7,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.0,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.3,pancreas_baron,43,0.05,1.1245,0.2449,0.2449,0.0,0.0,0,True
1.6,pancreas_baron,43,0.05,1.1245,0.2449,0.2449,0.0,0.0,0,True
0.0,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
0.7,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.0,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.3,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.6,pancreas_baron,43,0.10,1.5543,0.7808,0.7808,0.0,0.0,0,True
0.0,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
0.7,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.0,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.3,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.6,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
0.0,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
0.7,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.0,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.3,pancreas_baron,44,0.01,1.222,0.6769,0.6769,0.0,0.0,0,True
1.6,pancreas_baron,44,0.01,1.222,0.6769,0.6769,0.0,0.0,0,True
0.0,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
0.7,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.0,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.3,pancreas_baron,44,0.05,1.222,0.6769,0.6769,0.0,0.0,0,True
1.6,pancreas_baron,44,0.05,1.222,0.6769,0.6769,0.0,0.0,0,True
0.0,pancreas_baron,44,0.10,1.1241,0.8875,0.8764,-0.0111,0.006716,11,False
0.7,pancreas_baron,44,0.10,1.1241,0.8875,0.8764,-0.0111,0.006716,11,False
1.0,pancreas_baron,44,0.10,1.1241,0.8875,0.8764,-0.0111,0.006716,11,False
1.3,pancreas_baron,44,0.10,1.1241,0.8875,0.8875,0.0,0.0,0,True
1.6,pancreas_baron,44,0.10,1.1241,0.8875,0.8875,0.0,0.0,0,True
0.0,pancreas_baron,44,all,1.0929,0.897,0.897,0.0,0.0,0,True
0.7,pancreas_baron,44,all,1.0929,0.897,0.897,0.0,0.0,0,True
1.0,pancreas_baron,44,all,1.0929,0.897,0.897,0.0,0.0,0,True
1.3,pancreas_baron,44,all,1.0929,0.897,0.897,0.0,0.0,0,True
1.6,pancreas_baron,44,all,1.0929,0.897,0.897,0.0,0.0,0,True
0.0,tabula_lung_endo,42,0.01,2.3468,0.0,0.9848,0.9848,0.001166,2,False
0.7,tabula_lung_endo,42,0.01,2.3468,0.0,0.9848,0.9848,0.001166,2,False
1.0,tabula_lung_endo,42,0.01,2.3468,0.0,0.9848,0.9848,0.001166,2,False
1.3,tabula_lung_endo,42,0.01,2.3468,0.0,0.9848,0.9848,0.001166,2,False
1.6,tabula_lung_endo,42,0.01,2.3468,0.0,0.9848,0.9848,0.001166,2,False
0.0,tabula_lung_endo,42,0.05,1.879,0.6667,0.963,0.2963,0.002331,4,False
0.7,tabula_lung_endo,42,0.05,1.879,0.6667,0.963,0.2963,0.002331,4,False
1.0,tabula_lung_endo,42,0.05,1.879,0.6667,0.963,0.2963,0.002331,4,False
1.3,tabula_lung_endo,42,0.05,1.879,0.6667,0.963,0.2963,0.002331,4,False
1.6,tabula_lung_endo,42,0.05,1.879,0.6667,0.963,0.2963,0.002331,4,False
0.0,tabula_lung_endo,42,0.10,1.6589,0.9771,0.9771,0.0,0.0,0,True
0.7,tabula_lung_endo,42,0.10,1.6589,0.9771,0.9771,0.0,0.0,0,True
1.0,tabula_lung_endo,42,0.10,1.6589,0.9771,0.9771,0.0,0.0,0,True
1.3,tabula_lung_endo,42,0.10,1.6589,0.9771,0.9771,0.0,0.0,0,True
1.6,tabula_lung_endo,42,0.10,1.6589,0.9771,0.9771,0.0,0.0,0,True
0.0,tabula_lung_endo,42,all,1.671,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_lung_endo,42,all,1.671,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_lung_endo,42,all,1.671,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_lung_endo,42,all,1.671,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_lung_endo,42,all,1.671,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_lung_endo,43,0.01,1.9886,0.1944,0.9844,0.7899,0.0,0,False
0.7,tabula_lung_endo,43,0.01,1.9886,0.1944,0.9844,0.7899,0.0,0,False
1.0,tabula_lung_endo,43,0.01,1.9886,0.1944,0.9844,0.7899,0.0,0,False
1.3,tabula_lung_endo,43,0.01,1.9886,0.1944,0.9844,0.7899,0.0,0,False
1.6,tabula_lung_endo,43,0.01,1.9886,0.1944,0.9844,0.7899,0.0,0,False
0.0,tabula_lung_endo,43,0.05,1.6913,0.96,0.9774,0.0174,0.001748,3,False
0.7,tabula_lung_endo,43,0.05,1.6913,0.96,0.9774,0.0174,0.001748,3,False
1.0,tabula_lung_endo,43,0.05,1.6913,0.96,0.9774,0.0174,0.001748,3,False
1.3,tabula_lung_endo,43,0.05,1.6913,0.96,0.9774,0.0174,0.001748,3,False
1.6,tabula_lung_endo,43,0.05,1.6913,0.96,0.9774,0.0174,0.001748,3,False
0.0,tabula_lung_endo,43,0.10,1.7338,0.9618,0.9618,0.0,0.0,0,True
0.7,tabula_lung_endo,43,0.10,1.7338,0.9618,0.9618,0.0,0.0,0,True
1.0,tabula_lung_endo,43,0.10,1.7338,0.9618,0.9618,0.0,0.0,0,True
1.3,tabula_lung_endo,43,0.10,1.7338,0.9618,0.9618,0.0,0.0,0,True
1.6,tabula_lung_endo,43,0.10,1.7338,0.9618,0.9618,0.0,0.0,0,True
0.0,tabula_lung_endo,43,all,1.4801,0.9848,0.9848,0.0,0.0,0,True
0.7,tabula_lung_endo,43,all,1.4801,0.9848,0.9848,0.0,0.0,0,True
1.0,tabula_lung_endo,43,all,1.4801,0.9848,0.9848,0.0,0.0,0,True
1.3,tabula_lung_endo,43,all,1.4801,0.9848,0.9848,0.0,0.0,0,True
1.6,tabula_lung_endo,43,all,1.4801,0.9848,0.9848,0.0,0.0,0,True
0.0,tabula_lung_endo,44,0.01,2.0898,0.7619,0.9767,0.2148,0.000583,1,False
0.7,tabula_lung_endo,44,0.01,2.0898,0.7619,0.9767,0.2148,0.000583,1,False
1.0,tabula_lung_endo,44,0.01,2.0898,0.7619,0.9767,0.2148,0.000583,1,False
1.3,tabula_lung_endo,44,0.01,2.0898,0.7619,0.9767,0.2148,0.000583,1,False
1.6,tabula_lung_endo,44,0.01,2.0898,0.7619,0.9767,0.2148,0.000583,1,False
0.0,tabula_lung_endo,44,0.05,1.797,0.944,0.9924,0.0484,0.0,0,False
0.7,tabula_lung_endo,44,0.05,1.797,0.944,0.9924,0.0484,0.0,0,False
1.0,tabula_lung_endo,44,0.05,1.797,0.944,0.9924,0.0484,0.0,0,False
1.3,tabula_lung_endo,44,0.05,1.797,0.944,0.9924,0.0484,0.0,0,False
1.6,tabula_lung_endo,44,0.05,1.797,0.944,0.9924,0.0484,0.0,0,False
0.0,tabula_lung_endo,44,0.10,1.6894,0.9692,0.9692,0.0,0.0,0,True
0.7,tabula_lung_endo,44,0.10,1.6894,0.9692,0.9692,0.0,0.0,0,True
1.0,tabula_lung_endo,44,0.10,1.6894,0.9692,0.9692,0.0,0.0,0,True
1.3,tabula_lung_endo,44,0.10,1.6894,0.9692,0.9692,0.0,0.0,0,True
1.6,tabula_lung_endo,44,0.10,1.6894,0.9692,0.9692,0.0,0.0,0,True
0.0,tabula_lung_endo,44,all,1.6533,0.9692,0.9692,0.0,0.0,0,True
0.7,tabula_lung_endo,44,all,1.6533,0.9692,0.9692,0.0,0.0,0,True
1.0,tabula_lung_endo,44,all,1.6533,0.9692,0.9692,0.0,0.0,0,True
1.3,tabula_lung_endo,44,all,1.6533,0.9692,0.9692,0.0,0.0,0,True
1.6,tabula_lung_endo,44,all,1.6533,0.9692,0.9692,0.0,0.0,0,True
0.0,tabula_small_intestine,42,0.01,3.165,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,42,0.01,3.165,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,42,0.01,3.165,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,42,0.01,3.165,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,42,0.01,3.165,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,42,0.05,2.6237,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,42,0.05,2.6237,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,42,0.05,2.6237,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,42,0.05,2.6237,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,42,0.05,2.6237,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,42,0.10,2.301,0.9848,0.9848,0.0,0.0,0,True
0.7,tabula_small_intestine,42,0.10,2.301,0.9848,0.9848,0.0,0.0,0,True
1.0,tabula_small_intestine,42,0.10,2.301,0.9848,0.9848,0.0,0.0,0,True
1.3,tabula_small_intestine,42,0.10,2.301,0.9848,0.9848,0.0,0.0,0,True
1.6,tabula_small_intestine,42,0.10,2.301,0.9848,0.9848,0.0,0.0,0,True
0.0,tabula_small_intestine,42,all,2.4477,0.9701,0.9701,0.0,0.0,0,True
0.7,tabula_small_intestine,42,all,2.4477,0.9701,0.9701,0.0,0.0,0,True
1.0,tabula_small_intestine,42,all,2.4477,0.9701,0.9701,0.0,0.0,0,True
1.3,tabula_small_intestine,42,all,2.4477,0.9701,0.9701,0.0,0.0,0,True
1.6,tabula_small_intestine,42,all,2.4477,0.9701,0.9701,0.0,0.0,0,True
0.0,tabula_small_intestine,43,0.01,2.5937,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,43,0.01,2.5937,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,43,0.01,2.5937,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,43,0.01,2.5937,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,43,0.01,2.5937,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,43,0.05,2.4086,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,43,0.05,2.4086,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,43,0.05,2.4086,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,43,0.05,2.4086,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,43,0.05,2.4086,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,43,0.10,3.2691,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,43,0.10,3.2691,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,43,0.10,3.2691,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,43,0.10,3.2691,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,43,0.10,3.2691,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,43,all,2.6232,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,43,all,2.6232,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,43,all,2.6232,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,43,all,2.6232,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,43,all,2.6232,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,44,0.01,2.5892,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,44,0.01,2.5892,0.9774,0.9774,0.0,0.0,0,True
