dataset,rare_class,actual_training_labeled_rare_count,n_seeds,n_seed_count_units,n_identity_runs,train_rare_pool_mean,train_rare_pool_std,train_rare_pool_min,train_rare_pool_max,validation_rare_mean,validation_rare_std,validation_rare_min,validation_rare_max,test_rare_mean,test_rare_std,test_rare_min,test_rare_max,all_split_rare_mean,all_split_rare_std,all_split_rare_min,all_split_rare_max,total_rare_supervision_mean,total_rare_supervision_std,total_rare_supervision_min,total_rare_supervision_max,training_rare_label_fraction_mean,training_rare_label_fraction_std,training_rare_label_fraction_min,training_rare_label_fraction_max,training_rare_share_of_all_split_rare_mean,training_rare_share_of_all_split_rare_std,training_rare_share_of_all_split_rare_min,training_rare_share_of_all_split_rare_max,total_supervised_rare_share_of_all_split_rare_mean,total_supervised_rare_share_of_all_split_rare_std,total_supervised_rare_share_of_all_split_rare_min,total_supervised_rare_share_of_all_split_rare_max,training_rare_label_share_of_training_cells_mean,training_rare_label_share_of_training_cells_std,training_rare_label_share_of_training_cells_min,training_rare_label_share_of_training_cells_max
tabula_lung_endo,endothelial cell of lymphatic vessel,5,3,3,3,208.0,0.0,208.0,208.0,34.0,0.0,34.0,34.0,65.0,0.0,65.0,65.0,307.0,0.0,307.0,307.0,39.0,0.0,39.0,39.0,0.02403846153846154,0.0,0.02403846153846154,0.02403846153846154,0.016286644951140065,0.0,0.016286644951140065,0.016286644951140065,0.1270358306188925,0.0,0.1270358306188925,0.1270358306188925,0.0006698821007502679,0.0,0.0006698821007502679,0.0006698821007502679
tabula_lung_endo,endothelial cell of lymphatic vessel,10,3,3,3,208.0,0.0,208.0,208.0,34.0,0.0,34.0,34.0,65.0,0.0,65.0,65.0,307.0,0.0,307.0,307.0,44.0,0.0,44.0,44.0,0.04807692307692308,0.0,0.04807692307692308,0.04807692307692308,0.03257328990228013,0.0,0.03257328990228013,0.03257328990228013,0.14332247557003258,0.0,0.14332247557003258,0.14332247557003258,0.0013397642015005359,0.0,0.0013397642015005359,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,20,3,3,3,208.0,0.0,208.0,208.0,34.0,0.0,34.0,34.0,65.0,0.0,65.0,65.0,307.0,0.0,307.0,307.0,54.0,0.0,54.0,54.0,0.09615384615384616,0.0,0.09615384615384616,0.09615384615384616,0.06514657980456026,0.0,0.06514657980456026,0.06514657980456026,0.1758957654723127,0.0,0.1758957654723127,0.1758957654723127,0.0026795284030010718,0.0,0.0026795284030010718,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,208,3,3,3,208.0,0.0,208.0,208.0,34.0,0.0,34.0,34.0,65.0,0.0,65.0,65.0,307.0,0.0,307.0,307.0,242.0,0.0,242.0,242.0,1.0,0.0,1.0,1.0,0.6775244299674267,0.0,0.6775244299674267,0.6775244299674267,0.7882736156351792,0.0,0.7882736156351792,0.7882736156351792,0.027867095391211145,4.2491873609703695e-18,0.027867095391211148,0.027867095391211148
tabula_sapiens_stomach,mast cell,5,3,3,3,52.0,0.0,52.0,52.0,884.0,0.0,884.0,884.0,32.0,0.0,32.0,32.0,968.0,0.0,968.0,968.0,889.0,0.0,889.0,889.0,0.09615384615384616,0.0,0.09615384615384616,0.09615384615384616,0.005165289256198347,0.0,0.005165289256198347,0.005165289256198347,0.9183884297520661,0.0,0.9183884297520661,0.9183884297520661,0.00035021363031449183,0.0,0.00035021363031449183,0.00035021363031449183
tabula_sapiens_stomach,mast cell,52,3,3,3,52.0,0.0,52.0,52.0,884.0,0.0,884.0,884.0,32.0,0.0,32.0,32.0,968.0,0.0,968.0,968.0,936.0,0.0,936.0,936.0,1.0,0.0,1.0,1.0,0.05371900826446282,8.498374721940739e-18,0.05371900826446281,0.05371900826446281,0.9669421487603306,0.0,0.9669421487603306,0.9669421487603306,0.003642221755270715,0.0,0.003642221755270715,0.003642221755270715
tabula_small_intestine,intestinal tuft cell,5,3,3,3,315.0,0.0,315.0,315.0,55.0,0.0,55.0,55.0,65.0,0.0,65.0,65.0,435.0,0.0,435.0,435.0,60.0,0.0,60.0,60.0,0.015873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.011494252873563218,0.0,0.011494252873563218,0.011494252873563218,0.13793103448275862,0.0,0.13793103448275862,0.13793103448275862,0.0002059138456469813,0.0,0.0002059138456469813,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,15,3,3,3,315.0,0.0,315.0,315.0,55.0,0.0,55.0,55.0,65.0,0.0,65.0,65.0,435.0,0.0,435.0,435.0,70.0,0.0,70.0,70.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.16091954022988506,0.0,0.16091954022988506,0.16091954022988506,0.000617741536940944,0.0,0.000617741536940944,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,31,3,3,3,315.0,0.0,315.0,315.0,55.0,0.0,55.0,55.0,65.0,0.0,65.0,65.0,435.0,0.0,435.0,435.0,86.0,0.0,86.0,86.0,0.09841269841269841,0.0,0.09841269841269841,0.09841269841269841,0.07126436781609195,0.0,0.07126436781609195,0.07126436781609195,0.19770114942528735,0.0,0.19770114942528735,0.19770114942528735,0.001276665843011284,0.0,0.001276665843011284,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,315,3,3,3,315.0,0.0,315.0,315.0,55.0,0.0,55.0,55.0,65.0,0.0,65.0,65.0,435.0,0.0,435.0,435.0,370.0,0.0,370.0,370.0,1.0,0.0,1.0,1.0,0.7241379310344828,0.0,0.7241379310344828,0.7241379310344828,0.8505747126436781,0.0,0.8505747126436781,0.8505747126436781,0.012972572275759825,2.1245936804851847e-18,0.012972572275759823,0.012972572275759823
mouse_lung_tms_10x,vein endothelial cell,5,3,3,3,213.0,0.0,213.0,213.0,56.0,0.0,56.0,56.0,51.0,0.0,51.0,51.0,320.0,0.0,320.0,320.0,61.0,0.0,61.0,61.0,0.023474178403755864,4.2491873609703695e-18,0.023474178403755867,0.023474178403755867,0.015625,0.0,0.015625,0.015625,0.19062499999999996,3.3993498887762956e-17,0.190625,0.190625,0.0002316423442205235,0.0,0.0002316423442205235,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,10,3,3,3,213.0,0.0,213.0,213.0,56.0,0.0,56.0,56.0,51.0,0.0,51.0,51.0,320.0,0.0,320.0,320.0,66.0,0.0,66.0,66.0,0.04694835680751173,8.498374721940739e-18,0.046948356807511735,0.046948356807511735,0.03125,0.0,0.03125,0.03125,0.20624999999999996,3.3993498887762956e-17,0.20625,0.20625,0.000463284688441047,0.0,0.000463284688441047,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,21,3,3,3,213.0,0.0,213.0,213.0,56.0,0.0,56.0,56.0,51.0,0.0,51.0,51.0,320.0,0.0,320.0,320.0,77.0,0.0,77.0,77.0,0.09859154929577464,0.0,0.09859154929577464,0.09859154929577464,0.065625,0.0,0.065625,0.065625,0.240625,0.0,0.240625,0.240625,0.0009728978457261987,0.0,0.0009728978457261987,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,213,3,3,3,213.0,0.0,213.0,213.0,56.0,0.0,56.0,56.0,51.0,0.0,51.0,51.0,320.0,0.0,320.0,320.0,269.0,0.0,269.0,269.0,1.0,0.0,1.0,1.0,0.665625,0.0,0.665625,0.665625,0.8406249999999998,1.3597399555105182e-16,0.840625,0.840625,0.009867963863794302,0.0,0.009867963863794302,0.009867963863794302
mouse_pancreas_tms_10x,pancreatic D cell,5,3,3,3,174.0,0.0,174.0,174.0,27.0,0.0,27.0,27.0,71.0,0.0,71.0,71.0,272.0,0.0,272.0,272.0,32.0,0.0,32.0,32.0,0.02873563218390805,4.2491873609703695e-18,0.028735632183908046,0.028735632183908046,0.01838235294117647,0.0,0.01838235294117647,0.01838235294117647,0.1176470588235294,1.6996749443881478e-17,0.11764705882352941,0.11764705882352941,0.0010371292263015972,0.0,0.0010371292263015972,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,8,3,3,3,174.0,0.0,174.0,174.0,27.0,0.0,27.0,27.0,71.0,0.0,71.0,71.0,272.0,0.0,272.0,272.0,35.0,0.0,35.0,35.0,0.04597701149425287,0.0,0.04597701149425287,0.04597701149425287,0.02941176470588235,4.2491873609703695e-18,0.029411764705882353,0.029411764705882353,0.12867647058823528,0.0,0.12867647058823528,0.12867647058823528,0.0016594067620825555,0.0,0.0016594067620825555,0.0016594067620825555
mouse_pancreas_tms_10x,pancreatic D cell,17,3,3,3,174.0,0.0,174.0,174.0,27.0,0.0,27.0,27.0,71.0,0.0,71.0,71.0,272.0,0.0,272.0,272.0,44.0,0.0,44.0,44.0,0.09770114942528736,0.0,0.09770114942528736,0.09770114942528736,0.0625,0.0,0.0625,0.0625,0.16176470588235295,0.0,0.16176470588235295,0.16176470588235295,0.0035262393694254304,0.0,0.0035262393694254304,0.0035262393694254304
mouse_pancreas_tms_10x,pancreatic D cell,174,3,3,3,174.0,0.0,174.0,174.0,27.0,0.0,27.0,27.0,71.0,0.0,71.0,71.0,272.0,0.0,272.0,272.0,201.0,0.0,201.0,201.0,1.0,0.0,1.0,1.0,0.6397058823529411,0.0,0.6397058823529411,0.6397058823529411,0.738970588235294,1.3597399555105182e-16,0.7389705882352942,0.7389705882352942,0.03609209707529558,0.0,0.03609209707529558,0.03609209707529558
